ID	loc	Sample_number	Year_collect	Length	Weight	samp	clust
PM_OCQ_397	OCQ	1	2019	82	0.846	OCQ_2019	clust1
PM_OCQ_398	OCQ	2	2019	77	0.654	OCQ_2019	clust1
PM_OCQ_399	OCQ	3	2019	66	0.423	OCQ_2019	clust1
PM_OCQ_400	OCQ	4	2019	65	0.446	OCQ_2019	clust1
PM_OCQ_401	OCQ	5	2019	72	0.552	OCQ_2019	clust1
PM_OCQ_402	OCQ	6	2019	64	0.473	OCQ_2019	clust1
PM_OCQ_403	OCQ	7	2019	60	0.333	OCQ_2019	clust1
PM_OCQ_404	OCQ	8	2019	12	0.002	OCQ_2019	clust1
PM_OCQ_405	OCQ	9	2019	62	0.333	OCQ_2019	clust1
PM_OCQ_406	OCQ	10	2019	55	0.262	OCQ_2019	clust1
PM_OCQ_407	OCQ	11	2019	54	0.207	OCQ_2019	clust1
PM_OCQ_408	OCQ	12	2019	55	0.176	OCQ_2019	clust1
PM_OCQ_409	OCQ	13	2019	55	0.248	OCQ_2019	clust1
PM_OCQ_410	OCQ	14	2019	57	0.254	OCQ_2019	clust1
PM_OCQ_411	OCQ	15	2019	54	0.116	OCQ_2019	clust1
PM_OCQ_412	OCQ	16	2019	59	0.233	OCQ_2019	clust1
PM_OCQ_413	OCQ	17	2019	39	0.068	OCQ_2019	clust1
PM_OCQ_414	OCQ	18	2019	68	0.252	OCQ_2019	clust1
PM_OCQ_415	OCQ	19	2019	56	0.218	OCQ_2019	clust1
PM_OCQ_416	OCQ	20	2019	54	0.208	OCQ_2019	clust1
PM_OCQ_417	OCQ	21	2019	50	0.187	OCQ_2019	clust1
PM_OCQ_418	OCQ	22	2019	26	0.019	OCQ_2019	clust1
PM_OCQ_419	OCQ	23	2019	27	0.033	OCQ_2019	clust1
PM_OCQ_420	OCQ	24	2019	55	0.268	OCQ_2019	clust1
PM_OCQ_421	OCQ	25	2019	67	0.513	OCQ_2019	clust1
PM_OCQ_422	OCQ	26	2019	24	0.025	OCQ_2019	clust1
PM_OCQ_423	OCQ	27	2019	55	0.203	OCQ_2019	clust1
PM_OCQ_424	OCQ	28	2019	51	0.159	OCQ_2019	clust1
PM_OCQ_425	OCQ	29	2019	52	0.191	OCQ_2019	clust1
PM_OCQ_426	OCQ	30	2019	37	0.074	OCQ_2019	clust1
PM_OCQ_427	OCQ	31	2019	34	0.028	OCQ_2019	clust1
PM_OCQ_428	OCQ	32	2019	46	0.108	OCQ_2019	clust1
PM_OCQ_429	OCQ	33	2019	31	0.027	OCQ_2019	clust1
PM_OCQ_430	OCQ	34	2019	34	0.064	OCQ_2019	clust1
PM_OCQ_431	OCQ	35	2019	26	0.024	OCQ_2019	clust1
PM_OCQ_432	OCQ	36	2019	51	0.169	OCQ_2019	clust1
PM_OCQ_433	OCQ	37	2019	62	0.393	OCQ_2019	clust1
PM_OCQ_434	OCQ	38	2019	56	0.196	OCQ_2019	clust1
PM_OCQ_435	OCQ	39	2019	52	0.167	OCQ_2019	clust1
PM_OCQ_436	OCQ	40	2019	57	0.216	OCQ_2019	clust1
PM_OCQ_437	OCQ	41	2019	47	0.084	OCQ_2019	clust1
PM_OCQ_438	OCQ	42	2019	56	0.221	OCQ_2019	clust1
PM_OCQ_439	OCQ	43	2019	57	0.243	OCQ_2019	clust1
PM_OCQ_440	OCQ	44	2019	68	0.471	OCQ_2019	clust1
PM_OCQ_441	OCQ	45	2019	42	0.112	OCQ_2019	clust1
PM_OCQ_442	OCQ	46	2019	47	0.104	OCQ_2019	clust1
PM_OCQ_443	OCQ	47	2019	50	0.166	OCQ_2019	clust1
PM_OCQ_444	OCQ	48	2019	62	0.314	OCQ_2019	clust1
PM_OCQ_445	OCQ	49	2019	37	0.044	OCQ_2019	clust1
PM_OCQ_446	OCQ	50	2019	63	0.336	OCQ_2019	clust1
PM_OCQ_447	OCQ	51	2019	66	0.292	OCQ_2019	clust1
PM_OCQ_448	OCQ	52	2019	57	0.29	OCQ_2019	clust1
PM_OCQ_449	OCQ	53	2019	50	0.091	OCQ_2019	clust1
PM_OCQ_450	OCQ	54	2019	51	0.136	OCQ_2019	clust1
PM_OCQ_451	OCQ	55	2019	27	0.012	OCQ_2019	clust1
PM_OCQ_452	OCQ	56	2019	67	0.367	OCQ_2019	clust1
PM_OCQ_453	OCQ	57	2019	53	0.146	OCQ_2019	clust1
PM_OCQ_454	OCQ	58	2019	55	0.162	OCQ_2019	clust1
PM_OCQ_455	OCQ	59	2019	48	0.112	OCQ_2019	clust1
PM_OCQ_456	OCQ	60	2019	43	0.087	OCQ_2019	clust1
