,(Intercept),Drainage,SampDist,SampSize,TreatMonth,YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
6,-16.0594932291598,0.0224539872596535,NA,0.493397239230537,NA,NA,NA,NA,4,-89.7982994123474,190.929932158028,0,0.384979067424472
8,-10.8850722978969,0.0215067104094668,-8.71184533564991,0.634279772350013,NA,NA,NA,NA,5,-87.8604317235095,191.175408901564,0.245476743536273,0.340512076089513
22,-0.0222061285781501,0.0214773392757287,NA,0.501969270370352,NA,-7.79213439911396,NA,NA,5,-89.4323956292567,194.319336713059,3.38940455503067,0.0707029066827986
40,-32.74234751051,0.0226900717885814,-0.857734106950681,0.880827417858063,NA,NA,-0.0536510496770305,NA,6,-87.1184598395076,194.636919679015,3.70698752098704,0.0603218988003621
24,7.58717323426726,0.0203613493794654,-8.99335794138213,0.648616378376426,NA,-8.89398154180218,NA,NA,6,-87.2556251187359,194.911250237472,3.98131807944367,0.0525902069504995
5,22.713243296868,NA,NA,0.407898513454422,NA,NA,NA,NA,3,-94.0911183498852,196.028390545924,5.0984583878961,0.0300829861733896
7,26.7101680773812,NA,-9.83994581750934,0.571098027819957,NA,NA,NA,NA,4,-92.6308106487915,196.594954630916,5.66502247288813,0.0226617328864199
21,46.1077645355513,NA,NA,0.427934850062663,NA,-12.7026132738611,NA,NA,4,-93.4782298106966,198.289792954727,7.35986079669843,0.00971099320737334
23,52.0079690681618,NA,-10.180066087785,0.598287146600325,NA,-13.6610299990845,NA,NA,5,-91.779354283509,199.013254021563,8.08332186353519,0.00676341561347937
1,63.6470588235294,NA,NA,NA,NA,NA,NA,NA,2,-97.4071284763478,199.671399809838,8.74146765181024,0.00486689003491649
56,-14.4807580388736,0.0215805546785657,-2.13289210944786,0.860073994540167,NA,-7.39770171857603,-0.0465399906771757,NA,7,-86.6802504960035,199.804945436451,8.87501327842321,0.00455252636202132
