,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
10,-11.8196214738621,0.0219633741808989,NA,NA,0.468154782290014,NA,NA,NA,NA,NA,4,-104.686666234619,220.039999135906,0,0.35529307745613
14,-9.16985559700989,0.0217208189730124,NA,-7.38986974730029,0.581396714537311,NA,NA,NA,NA,NA,5,-103.055320422155,220.396355130025,0.356355994119127,0.297306924826449
42,-3.03076242661514,0.0210442262835917,NA,NA,0.484008700209931,NA,-5.72729638784109,NA,NA,NA,5,-104.482829126142,223.251372537999,3.21137340209347,0.0713256719582983
12,-19.6137443342146,0.0214261620315508,7.80227044515882,NA,0.466553116943454,NA,NA,NA,NA,NA,5,-104.574603567742,223.434921421199,3.3949222852934,0.0650711883858927
142,-21.6754377527744,0.0223293353125674,NA,-2.41114068834555,0.725012009405874,NA,NA,NA,-0.0327225935712474,NA,6,-102.754047495905,223.969633453348,3.92963431744221,0.0498055219521835
46,-1.4162148524071,0.0209094620847089,NA,-7.28869033837937,0.593898214292651,NA,-5.07633386621409,NA,NA,NA,6,-102.86729493213,224.196128325799,4.15612918989365,0.0444728292584668
16,-4.86152758383755,0.0219934256978184,-4.16095017005524,-7.81300631328417,0.588735002546455,NA,NA,NA,NA,NA,6,-103.023770551382,224.509079564302,4.46908042839635,0.0380310451943857
9,20.4729732919656,NA,NA,NA,0.402017548090985,NA,NA,NA,NA,NA,3,-109.57818152202,226.65636304404,6.6163639081345,0.0129975524298849
44,-9.6466757128477,0.0207939276076597,5.4360131874822,NA,0.480754164106644,NA,-4.95471042245787,NA,NA,NA,6,-104.431235582764,227.324009627067,7.28401049116187,0.00930859133887483
13,22.871036278728,NA,NA,-7.72799893770205,0.521204766697665,NA,NA,NA,NA,NA,4,-108.513643777023,227.693954220713,7.65395508480731,0.00773662446447798
174,-13.934987048861,0.0215534005073858,NA,-2.56015773085633,0.729528556403977,NA,-4.6695860409953,NA,-0.0311314665304035,NA,7,-102.591013422789,228.51536017891,8.47536104300485,0.00513080464456991
41,36.7515243073019,NA,NA,NA,0.442775422674942,NA,-12.5355037432932,NA,NA,NA,4,-108.932661207554,228.531989081775,8.49198994586925,0.00508832167457727
144,-21.0798907852777,0.0223525326133571,-0.450189917688752,-2.50844296845081,0.724319792588048,NA,NA,NA,-0.0323839700082568,NA,7,-102.753700226132,228.840733785598,8.80073464969217,0.00436045188061167
48,7.71384671783272,0.0212352686196469,-7.36895319811449,-8.01848079860105,0.609312843297378,NA,-6.05845775018774,NA,NA,NA,7,-102.773287863049,228.879909059431,8.83990992352594,0.00427587199666131
11,0.672253329205197,NA,17.9975412559341,NA,0.402054490714857,NA,NA,NA,NA,NA,4,-109.195058580984,229.056783828634,9.01678469272821,0.00391396400639789
30,-8.30506837121345,0.0459168831099134,NA,-9.2137825589633,0.636950064438758,+,NA,NA,NA,NA,10,-92.3678355872435,229.180115618931,9.14011648302588,0.00367989705522428
108,-53.5936385662613,0.0171872166853902,48.9922716887169,NA,0.507491947110411,NA,29.5610344765537,-37.0145626488715,NA,NA,7,-103.08601925122,229.505371835773,9.46537269986715,0.00312757101346517
45,38.1438127744022,NA,NA,-7.46290083451148,0.555561822141525,NA,-11.8243413967947,NA,NA,NA,5,-107.876399548157,230.038513382029,9.99851424612311,0.00239572499299343
26,0.195755430103159,0.0414806603709231,NA,NA,0.509111933029159,+,NA,NA,NA,NA,9,-97.2968073476144,230.593614695229,10.5536155593232,0.00181509033806558
2,37.4561455567205,0.0170287994318763,NA,NA,NA,NA,NA,NA,NA,NA,3,-111.635151864789,230.770303729578,10.7303045936725,0.00166161616539063
112,-38.6524670733216,0.0173626259604013,38.8866820442919,-8.56784055348887,0.647054000453233,NA,31.2159632746921,-40.0540513590858,NA,NA,8,-100.872357737882,230.835624566673,10.795625430767,0.00160822374149026
107,-55.3739777380561,NA,77.8006057051407,NA,0.489732832280204,NA,44.2805972389036,-57.2347597885286,NA,NA,6,-106.269340086778,231.000218635094,10.9602194991889,0.00148117141241511
15,14.2676683218122,NA,7.59972721941764,-6.94741441113324,0.50918158373463,NA,NA,NA,NA,NA,5,-108.450354077807,231.186422441329,11.1464233054234,0.00134949623893666
141,19.2876272235586,NA,NA,-6.1939739841668,0.565018691979707,NA,NA,NA,-0.0101015670238702,NA,5,-108.496929513601,231.279573312916,11.2395741770108,0.00128808411299891
1,57.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-113.420965419465,231.547813191871,11.5078140559653,0.0011264104584184
43,20.7262798385909,NA,12.2883963655006,NA,0.436527004959758,NA,-10.6059807502569,NA,NA,NA,5,-108.760063942333,231.80584217038,11.7658430344743,0.000990071121971653
28,-42.0554692605711,0.0401770795075948,33.1458726381068,NA,0.529785847109114,+,NA,NA,NA,NA,10,-93.8716790391177,232.18780252268,12.1478033867743,0.000817946233130907
111,-40.741335936691,NA,68.179934000319,-8.40113432070221,0.626401678683755,NA,46.0506276866144,-60.4174565536808,NA,NA,7,-104.773912611123,232.881158555579,12.841159419673,0.000578314933726315
6,31.036838070796,0.0176615969050424,NA,3.2560636642315,NA,NA,NA,NA,NA,NA,4,-111.430312104392,233.52729087545,13.4872917395442,0.000418657192359198
4,27.0514487469633,0.0163488956738402,10.1950583374017,NA,NA,NA,NA,NA,NA,NA,4,-111.539624339499,233.745915345666,13.7059162097601,0.000375305437062947
3,37.9653846153846,NA,17.9769230769231,NA,NA,NA,NA,NA,NA,NA,3,-113.162284248881,233.824568497763,13.784569361857,0.000360832411774757
34,30.6884406678431,0.017731779183388,NA,NA,NA,NA,3.70646909866517,NA,NA,NA,4,-111.590465552284,233.847597771234,13.8075986353288,0.000356701386899223
173,35.2137829212185,NA,NA,-6.23825864624357,0.590422493961522,NA,-11.7727612986784,NA,-0.00807189392143775,NA,6,-107.865040529225,234.191619519988,14.1516203840821,0.000300331872869796
5,54.1524298785061,NA,NA,2.06182190890455,NA,NA,NA,NA,NA,NA,3,-113.351817507101,234.203635014203,14.1636358782973,0.00029853296403459
47,37.3499492162082,NA,0.600211070383678,-7.40323732740586,0.554354934917639,NA,-11.7357818192557,NA,NA,NA,6,-107.87601703245,234.213572526438,14.1735733905321,0.000297053305618411
176,-8.18199612189524,0.0216552628681046,-3.6850804286471,-3.37354097653059,0.724374692911201,NA,-5.19930220346205,NA,-0.0281791282219136,NA,8,-102.569454799581,234.229818690071,14.1898195541653,0.000294650091280883
33,62.2111111111111,NA,NA,NA,NA,NA,-2.79444444444445,NA,NA,NA,3,-113.398156061254,234.296312122509,14.2563129866031,0.00028501499840296
143,5.44860390122941,NA,9.76362044259012,-3.99847312728089,0.583636117725354,NA,NA,NA,-0.0179552307980554,NA,6,-108.402288181305,235.266114824149,15.2261156882435,0.000175500247654035
7,25.1342621712065,NA,23.6494253535317,3.78814364362563,NA,NA,NA,NA,NA,NA,4,-112.947377768467,236.5614222036,16.5214230676944,9.18343824790253e-05
8,11.8356878269702,0.0167789632865999,16.5901543324442,4.4074024646596,NA,NA,NA,NA,NA,NA,5,-111.196511118424,236.678736522562,16.6387373866562,8.66025797887124e-05
35,38.3765217391304,NA,17.8759420289855,NA,NA,NA,-0.187536231884059,NA,NA,NA,4,-113.162187216427,236.991041099521,16.9510419636158,7.40823503004726e-05
32,-30.9899611493314,0.0441021423643804,19.3785435816668,-7.02757202245094,0.618704014004338,+,NA,NA,NA,NA,11,-91.0163366260351,237.03267325207,16.9926741161646,7.25561859309947e-05
38,26.7557469774211,0.0181079972707819,NA,3.09208924947544,NA,NA,2.52167298712482,NA,NA,NA,5,-111.409751030781,237.105216347277,17.0652172113716,6.99716172854819e-05
36,14.7321975528338,0.0172000509093853,12.6761422905882,NA,NA,NA,5.36012830425306,NA,NA,NA,5,-111.450773615401,237.187261516517,17.1472623806111,6.71592797562403e-05
37,59.7257683249081,NA,NA,2.3545352711397,NA,NA,-3.80166231043198,NA,NA,NA,4,-113.310671769526,237.288010205718,17.2480110698126,6.38599729213131e-05
240,-48.9470576639799,0.017757867053489,40.4139747619426,-5.21881588035871,0.728772750514744,NA,30.9318250861282,-39.085714677457,-0.0202367193361358,NA,9,-100.746952924111,237.493905848221,17.4539067123158,5.76128101840169e-05
239,-42.0425033416209,NA,68.4559812070113,-7.97930876675669,0.636623745417576,NA,46.0573657643664,-60.3539483055055,-0.00254602587411156,NA,8,-104.77255066512,238.636010421148,18.5960112852426,3.25472427048956e-05
58,5.20010980852109,0.0398706938674648,NA,NA,0.530066799923664,+,-4.56992276997416,NA,NA,NA,10,-97.125861900631,238.696168245706,18.6561691098008,3.15828339405401e-05
