Pop,SampSize,Nb_LD,Vk,Nb_SF,Ns_Chao,TreatYear,TreatMonth,Drainage,SampSites,YearSinceTreat,SampDist,NcAge1
BAD,37,3,37.062,6,10,2017,September,2270,1,2,0.2,4333
BEI,80,62,1.923,80,97,2017,June,590,1,1,0.2,1654
BET,123,57,4.02,80,165,2017,July,230,3,1,4,1097
BRL,33,68,0.364,111,162,2018,June,408,1,0,0.2,36558
CAT,240,33,42.351,40,76,2016,May,1129,4,2,11,1637
CHE,51,8,177.76,4,11,2016,August,1550,3,3,6,NA
EAG,21,0,7.188,7,8,2018,June,653,2,0,3,2124
FOR,122,38,10.453,40,183,2017,May,1216,1,1,0.2,NA
MAI,29,7,8.116,11,27,2016,September,3631,1,2,0.2,10420
MAN,185,144,1.771,207,440,2016,August,546,1,2,0.2,7219
MIR2016,444,228,2.872,353,546,2013,June,142,7,3,6,4705
MIS,37,9,17.633,9,14,2015,July,102,1,4,0.2,NA
MUS,53,249,0.138,367,280,2017,September,7327,1,1,0.2,NA
OCQ,86,106,1.104,180,239,2016,July,363,2,2,3,4813
SWN,38,2,56.56,4,5,2013,July,5,1,5,0.2,NA
TAQ,92,50,3.233,68,122,2015,October,2176,1,3,0.2,3974
TWO,35,18,3.617,30,77,2016,August,521,1,2,0.2,NA
