,(Intercept),Drainage,SampDist,SampSize,TreatMonth,YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
39,-16.187983600146,NA,-1.23781792076053,2.25818391785715,NA,NA,-0.163089671878965,NA,5,-96.1844172856008,207.823380025747,0,0.251170943839348
7,43.9660816290479,NA,-24.9242366355725,1.51929058726749,NA,NA,NA,NA,4,-98.4014861714513,208.136305676236,0.312925650488921,0.2147921751064
23,92.9741843363102,NA,-25.583133792071,1.57196264070778,NA,-26.4647967436426,NA,NA,5,-96.6998586818784,208.854262818302,1.03088279255519,0.150008560459356
40,-55.8648385806378,0.0181013984356559,2.87528424477635,2.41005022800188,NA,NA,-0.18487236811498,NA,6,-94.3409237576472,209.081847515294,1.25846748954734,0.133874127798232
55,32.3479171801585,NA,-4.37462961998143,2.22309235540756,NA,-22.6824297285605,-0.145379927105186,NA,6,-94.6059874362976,209.611974872595,1.78859484684821,0.102702487230616
8,19.4516044977651,0.0140237369209292,-24.1886436937991,1.56048908516073,NA,NA,NA,NA,5,-97.5753736261218,210.605292706789,2.781912681042,0.0625006788293813
24,69.0949416743657,0.0109456301632914,-24.9451962840889,1.59901807535296,NA,-23.9021792858564,NA,NA,6,-96.1117692266111,212.623538453222,4.80015842747525,0.0227839090807953
56,-10.119771759648,0.0153220711259752,-0.318971552187755,2.35806314670669,NA,-18.5311557881434,-0.167059248965544,NA,7,-93.1101187357082,212.664681915861,4.84130189011387,0.022319992766188
5,33.8420117518713,NA,NA,1.10591195792391,NA,NA,NA,NA,3,-102.449107176888,212.744368199931,4.92098817418363,0.0214481773853237
21,78.1466065331095,NA,NA,1.14385681540878,NA,-24.0562364161835,NA,NA,4,-101.616287509648,214.56590835263,6.74252832688333,0.00862676513259044
6,5.08470295098543,0.0166538733989939,NA,1.16932541489194,NA,NA,NA,NA,4,-101.725608602543,214.784550538419,6.96117051267186,0.00773339916078612
22,47.9885359198648,0.0140410909683431,NA,1.19225778430829,NA,-20.8459467386176,NA,NA,5,-101.070984876334,217.596515207213,9.77313518146553,0.00189565830316521
