,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
13,33.0397043952802,NA,NA,-21.0655671332582,1.41595291398856,NA,NA,NA,NA,NA,4,-116.052894285614,242.772455237894,0,0.221421618078558
14,6.3683883843383,0.0180807334918275,NA,-20.784103354887,1.46605758861407,NA,NA,NA,NA,NA,5,-114.577861301912,243.441436889537,0.668981651642952,0.158471985857515
141,-4.53063408330865,NA,NA,-4.98204558949849,1.87532106805047,NA,NA,NA,-0.105910122569865,NA,5,-115.14952558707,244.584765459853,1.81231022195888,0.0894709102366317
16,57.5538648502866,0.0213194620784986,-49.434540813554,-25.8112151889514,1.55324077593036,NA,NA,NA,NA,NA,6,-113.064212934339,244.589964330217,1.81750909232269,0.0892386384233566
142,-42.0189954885169,0.0204352431298597,NA,-1.52009219779459,2.02174290707926,NA,NA,NA,-0.12661231414305,NA,6,-113.065332776341,244.592204014221,1.81974877632635,0.0891387611816669
15,76.0968682143839,NA,-38.0342560617705,-24.9721483702159,1.47612518153063,NA,NA,NA,NA,NA,5,-115.280290817451,244.846295920616,2.0738406827214,0.0785039009181356
45,47.0417158057804,NA,NA,-20.8225264086835,1.44745130476854,NA,-10.840501935353,NA,NA,NA,5,-115.805711840725,245.897137967165,3.12468272927003,0.0464198557573965
9,26.5028819597887,NA,NA,NA,1.09106333064036,NA,NA,NA,NA,NA,3,-119.365389766088,246.230779532175,3.45832429428086,0.0392875042774243
10,-1.08411209726602,0.0187629231220063,NA,NA,1.14756320313526,NA,NA,NA,NA,NA,4,-118.243827830162,247.154322326991,4.38186708909669,0.0247576643947375
46,14.4294817438606,0.0172372041305969,NA,-20.6789119115072,1.4790548063059,NA,-5.27762409525368,NA,NA,NA,6,-114.51405199459,247.489642450718,4.71718721282377,0.0209361023039997
144,8.54241359715428,0.0224046733829306,-38.2207245386311,-9.78096943817384,1.96297431347992,NA,NA,NA,-0.0978634741205966,NA,7,-112.130364854817,247.594063042967,4.82160780507252,0.0198710670285552
47,111.578244290567,NA,-48.7936981624638,-25.67282541294,1.54556427506211,NA,-18.0398848009055,NA,NA,NA,6,-114.590905801544,247.643350064626,4.87089482673133,0.019387358787213
