,(Intercept),Drainage,SampDist,SampSize,TreatMonth,YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
6,-23.9415474255805,0.0325011289529622,NA,0.739192848475444,NA,NA,NA,NA,4,-97.5715590424822,206.476451418298,0,0.403931209369212
8,-16.2004569903577,0.0310839740941095,-13.0331844851441,0.949957385050354,NA,NA,NA,NA,5,-95.8552976204741,207.165140695494,0.688689277195891,0.286259846069541
22,0.76575863956313,0.0309964891404181,NA,0.752399059453837,NA,-12.0046893400481,NA,NA,5,-97.2239190189684,209.902383492482,3.4259320741846,0.0728409686089139
5,32.1802315315124,NA,NA,0.615437317681295,NA,NA,NA,NA,3,-101.305633341868,210.457420529889,3.9809691115918,0.055188799982494
24,12.1589611693333,0.0293255645744295,-13.4653752379837,0.971967584329366,NA,-13.6544385580712,NA,NA,6,-95.3003828810364,211.000765762073,4.52431434377505,0.0420595898102625
40,-44.7953134468489,0.0326321107416459,-2.75801610329703,1.27250420135801,NA,NA,-0.0701891726819392,NA,6,-95.3667698545682,211.133539709136,4.6570882908388,0.0393580466912115
7,38.1365129896058,NA,-14.663645187225,0.858639853321818,NA,NA,NA,NA,4,-99.9240637350819,211.181460803497,4.70500938519956,0.03842621454122
21,67.3413766144754,NA,NA,0.645551229020867,NA,-19.0915823281082,NA,NA,4,-100.713893653351,212.761120640035,6.28466922173692,0.0174425038709205
23,76.1362984468012,NA,-15.1745392884486,0.899480584134774,NA,-20.5202107992987,NA,NA,5,-99.1113296869259,213.677204828397,7.20075341009951,0.0110327473780449
1,93.9411764705882,NA,NA,NA,NA,NA,NA,NA,2,-104.550511836918,213.958166530978,7.48171511268049,0.00958679885907716
2,63.3466990250742,0.0227527939355938,NA,NA,NA,NA,NA,NA,3,-103.413248323298,214.67265049275,8.19619907445224,0.0067069550315978
39,26.7317307318633,NA,-10.1728689299781,0.998728765267598,NA,NA,-0.0309206400129307,NA,5,-99.8652168523655,215.184979159277,8.70852774097884,0.00519128220231696
56,-15.7619502734675,0.0308681343226054,-4.7853382839564,1.23950917224429,NA,-11.7613070306591,-0.058883587326908,NA,7,-94.947508910745,216.339462265934,9.86301084763679,0.00291461916847927
17,118.798319327731,NA,NA,NA,NA,-12.4285714285714,NA,NA,3,-104.38071599899,216.607585844134,10.1311344258365,0.00254893946531331
3,89.3477148859727,NA,2.21843315166093,NA,NA,NA,NA,NA,3,-104.520895657544,216.887945161243,10.4114937429451,0.00221554343861414
