,(Intercept),Drainage,SampDist,SampSize,TreatMonth,YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
23,-3.17423824317817,NA,9.9999565326687,-0.242693716888985,NA,14.4754135646088,NA,NA,5,-81.3466229944275,178.1477914434,0,0.235374734939407
55,-28.7484000993157,NA,18.9464040687933,0.0319743023407498,NA,16.0709408959202,-0.0613260548739596,NA,6,-79.052739854757,178.505479709514,0.357688266113655,0.196828881177083
7,23.6316564544587,NA,9.63956045899957,-0.213883756085921,NA,NA,NA,NA,4,-84.2288336243071,179.791000581948,1.64320913854709,0.103500277264172
1,22.1273529411765,NA,NA,NA,NA,NA,NA,NA,2,-87.7321159295053,180.321374716153,2.17358327275306,0.0793911756747891
3,10.8751507170478,NA,5.4343022105167,NA,NA,NA,NA,NA,3,-86.3411103817366,180.528374609627,2.3805831662267,0.0715851233360951
17,-3.38500420168068,NA,NA,NA,NA,12.7561785714286,NA,NA,3,-86.3437949005764,180.533743647307,2.38595220390619,0.071393209437347
19,-13.4470617075025,NA,5.25860712864647,NA,NA,12.3430022970349,NA,NA,4,-84.7983138945896,180.929961122513,2.78216967911217,0.0585624684524799
39,5.64022590349578,NA,16.7239122095401,0.0071112505062825,NA,NA,-0.048778357605758,NA,5,-83.2496193766891,181.953784207924,3.80599276452313,0.0350993453252187
24,-6.44529020659043,0.00149936602024142,10.0873431708281,-0.238987580397557,NA,14.8264487706007,NA,NA,6,-81.2814671236501,182.9629342473,4.81514280389979,0.0211916547202133
5,27.5471859488663,NA,NA,-0.0540077146135566,NA,NA,NA,NA,3,-87.580530586056,183.007215018266,4.85942357486536,0.0207276192335321
2,23.0288587975987,-0.000670440507422779,NA,NA,NA,NA,NA,NA,3,-87.7254284315521,183.297010709258,5.1492192658576,0.0179316844288826
21,2.62157765341563,NA,NA,-0.0753553572037805,NA,13.5339535082819,NA,NA,4,-85.9980828940099,183.329499121353,5.18170767795272,0.01764275154833
56,-37.6883512664537,0.0032254773232371,19.8001680946172,0.0603872514163262,NA,16.9448331946356,-0.0658898087208659,NA,7,-78.6651927009052,183.774829846255,5.6270384028544,0.014120952106478
8,24.3483201436615,-0.000409974195425035,9.61805591094905,-0.215088165518424,NA,NA,NA,NA,5,-84.2252681915939,183.905081837733,5.75729039433287,0.013230617664416
4,9.11494058052795,0.00111911777768017,5.55764479690436,NA,NA,NA,NA,NA,4,-86.3199246447135,183.97318262276,5.82539117935983,0.012787693602919
18,-5.5506022228846,0.00115617222616497,NA,NA,NA,13.0616557903274,NA,NA,4,-86.3212225245057,183.975778382345,5.82798693894438,0.0127711074795274
20,-19.5869730393611,0.0029561497046936,5.57365106327002,NA,NA,13.0993058277189,NA,NA,5,-84.6259051839412,184.706355822428,6.55856437902736,0.00886310071603785
6,30.0609869675335,-0.00145578726455292,NA,-0.0595509597700202,NA,NA,NA,NA,4,-87.5500012117482,186.43333575683,8.2855443134294,0.0037374617484708
40,4.14080044005173,0.000684068778932049,16.8793501877716,0.0128504204224026,NA,NA,-0.0496015460720517,NA,6,-83.2387717861847,186.877543572369,8.72975212896893,0.0029930795175875
22,2.0897221269944,0.000247622996983655,NA,-0.0745017773072588,NA,13.5905688776244,NA,NA,5,-85.9970511398856,187.448647734317,9.30085629091627,0.002249596159405
9,61.0493333333334,NA,NA,NA,+,NA,NA,NA,7,-85.6540814753167,197.752607395078,19.6048159516774,1.30205146545665e-05
11,47.2089828015519,NA,6.48766431177254,NA,+,NA,NA,NA,8,-83.7077996093401,201.41559921868,23.2678077752798,2.08554508387456e-06
25,26.058753894081,NA,NA,NA,+,14.9959626168224,NA,NA,8,-84.0767052494741,202.153410498948,24.0056190555478,1.44213493887014e-06
13,65.7992675264109,NA,NA,-0.0525822973403426,+,NA,NA,NA,8,-85.5063516785069,205.012703357014,26.8649119136133,3.45237802437848e-07
10,59.712643735212,0.00153231516788845,NA,NA,+,NA,NA,NA,8,-85.6417507624293,205.283501524859,27.1357100814582,3.0151940574464e-07
15,57.1082647094007,NA,9.82673790754513,-0.188442497182623,+,NA,NA,NA,9,-81.7034267409747,207.121139196235,28.9733477528348,1.20303238450118e-07
27,19.6721064437069,NA,5.65080989958677,NA,+,12.5666424730748,NA,NA,9,-82.373611156582,208.46150802745,30.3137165840492,6.15488474356761e-08
29,27.284486042319,NA,NA,-0.135629100166981,+,19.7214325740421,NA,NA,9,-83.0117386787641,209.737763071814,31.5899716284135,3.25150677383318e-08
31,17.2119779674909,NA,10.0427689815228,-0.277042921082745,+,20.3309966041722,NA,NA,10,-77.035802727284,210.738272121235,32.5904806778343,1.97163665447518e-08
12,47.0414849713485,0.000205048346044544,6.48233336943061,NA,+,NA,NA,NA,9,-83.707523665392,211.12933304507,32.9815416016694,1.62147061581062e-08
26,18.2559762701115,0.00571296973531032,NA,NA,+,16.2041756274798,NA,NA,9,-83.8794831048642,211.473251924014,33.3254604806137,1.36529986457734e-08
63,-66.1530192826637,NA,25.4397058396878,0.133025009214196,+,31.2315763251044,-0.102508203710824,NA,11,-69.927688110132,214.655376220264,36.5075847768637,2.78124044212924e-09
14,64.694942804989,0.00118430414655929,NA,-0.0517939201716334,+,NA,NA,NA,9,-85.4988924280127,214.712070570311,36.5642791269107,2.70350709811689e-09
89,-347.438,NA,NA,NA,+,175.066,NA,+,12,-58.059674065817,218.119348131634,39.9715566882336,4.92092326160872e-10
47,43.2034120564591,NA,13.2552773388285,-0.0857796636173201,+,NA,-0.0229992065645311,NA,10,-81.5092376834108,219.685142033488,41.5373505900878,2.24925537448941e-10
16,58.689595864185,-0.00178038616390937,9.91585859106256,-0.190859822820682,+,NA,NA,NA,10,-81.6774235631482,220.021513792963,41.8737223495626,1.90106325402715e-10
28,14.5541409469888,0.00387970359453505,5.49072036023527,NA,+,13.4559689352328,NA,NA,10,-82.2645739088459,221.195814484359,43.0480230409581,1.05681851224351e-10
30,19.0461470767867,0.00604241228050047,NA,-0.137221540327513,+,21.0548004657609,NA,NA,10,-82.761040815249,222.188748297165,44.0409568537643,6.43261522481396e-11
32,13.1720885547204,0.00307091098789655,9.89615454514751,-0.275787739462377,+,20.9997497979819,NA,NA,11,-76.9078051503767,228.615610300753,50.4678188573531,2.58709408035154e-12
48,44.011846219708,-0.00295070167441964,13.849858134773,-0.0764048595880672,+,NA,-0.0259969356895688,NA,11,-81.4393243283439,237.678648656688,59.5308572132874,2.78482845977649e-14
64,-66.8540432539754,0.000875345969312054,25.3147055820345,0.131166689064601,+,31.3632914031157,-0.101954225494573,NA,12,-69.9041603529712,241.808320705942,63.660529262542,3.5322510026295e-15
90,-378.659658329199,-0.0208213793459141,NA,NA,+,196.230932105122,NA,+,13,-52.6146354940095,252.562604321352,74.414812877952,1.63225700679468e-17
