,(Intercept),Drainage,EstLarvalAge,SampDist,SampSize,TreatMonth,YearSinceTreat,EstLarvalAge:YearSinceTreat,SampDist:SampSize,TreatMonth:YearSinceTreat,df,logLik,AICc,delta,weight
3,-26.3874044185,NA,57.0016897725,NA,NA,NA,NA,NA,NA,NA,3,-114.310660072307,236.121320144614,0,0.21695267014886
1,36.31445433125,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-116.420483427468,237.546849207877,1.4255290632631,0.106369053943345
7,-52.0205734513762,NA,68.3338402003575,7.56770319668563,NA,NA,NA,NA,NA,NA,4,-113.524044788376,237.714756243419,1.59343609880543,0.0978035788994601
143,-131.645255316576,NA,95.0220322247042,39.6830116456543,0.512730742681689,NA,NA,NA,-0.170565541962898,NA,6,-109.807109100638,238.075756662815,1.95443651820062,0.0816515629038309
4,-19.2343057740022,-0.0107152236272485,62.1019988444084,NA,NA,NA,NA,NA,NA,NA,4,-113.719935784068,238.106538234804,1.9852180901897,0.0804045024101403
35,-33.3335452815892,NA,58.707759458171,NA,NA,NA,3.16841513053189,NA,NA,NA,4,-114.285937588757,239.238541844181,3.11722169956684,0.0456529565273043
11,-25.0324185848224,NA,57.0009406441884,NA,-0.0146080020769662,NA,NA,NA,NA,NA,4,-114.306805233712,239.280277134091,3.15895698947728,0.0447101580435758
2,44.1446811696504,-0.00657366984712287,NA,NA,NA,NA,NA,NA,NA,NA,3,-116.238276249913,239.976552499825,3.85523235521123,0.0315654460296296
5,31.8259811847456,NA,NA,2.57958226810597,NA,NA,NA,NA,NA,NA,3,-116.340251261154,240.180502522308,4.05918237769444,0.0285052428780919
33,44.9434673293056,NA,NA,NA,NA,NA,-5.39313312378472,NA,NA,NA,3,-116.357415209592,240.214830419184,4.09351027456978,0.0280201552773006
8,-44.0846557662567,-0.010012838071008,72.5464567027106,7.19816080046332,NA,NA,NA,NA,NA,NA,5,-112.969004276714,240.223722839143,4.1024026945291,0.0278958483354408
15,-47.8686378271845,NA,74.4661494008404,11.6695723335005,-0.194549385574766,NA,NA,NA,NA,NA,5,-113.012047840114,240.309809965942,4.18848982132786,0.026720586791152
9,37.6794622915369,NA,NA,NA,-0.0147250049653385,NA,NA,NA,NA,NA,3,-116.417311726733,240.334623453467,4.21330330885286,0.0263911193528514
144,-119.412938085899,-0.0103067766590876,99.731631089522,38.9959571481613,0.447861349961375,NA,NA,NA,-0.163912434904108,NA,7,-108.976226028432,241.285785390198,5.16446524558413,0.0164027105243055
39,-55.0177093481353,NA,69.0287862798521,7.50580576197293,NA,NA,1.46274796607195,NA,NA,NA,5,-113.518404536314,241.322523358341,5.20120321372744,0.0161041598271431
12,-14.3881809426843,-0.0112424917032321,62.3504870227494,NA,-0.048450986610412,NA,NA,NA,NA,NA,5,-113.676336245764,241.638386777242,5.51706663262775,0.0137514724207396
36,-18.5375124769826,-0.0107633661038898,61.9616654231087,NA,NA,NA,-0.303176014086626,NA,NA,NA,5,-113.719708228453,241.725130742621,5.60381059800721,0.0131677929598419
