Sample_number	ID_indiv	Year_collect	Length	Weight
1	PM_OCQ_397	2019	82	0.846
2	PM_OCQ_398	2019	77	0.654
3	PM_OCQ_399	2019	66	0.423
4	PM_OCQ_400	2019	65	0.446
5	PM_OCQ_401	2019	72	0.552
6	PM_OCQ_402	2019	64	0.473
7	PM_OCQ_403	2019	60	0.333
8	PM_OCQ_404	2019	12	0.002
9	PM_OCQ_405	2019	62	0.333
10	PM_OCQ_406	2019	55	0.262
11	PM_OCQ_407	2019	54	0.207
12	PM_OCQ_408	2019	55	0.176
13	PM_OCQ_409	2019	55	0.248
14	PM_OCQ_410	2019	57	0.254
15	PM_OCQ_411	2019	54	0.116
16	PM_OCQ_412	2019	59	0.233
17	PM_OCQ_413	2019	39	0.068
18	PM_OCQ_414	2019	68	0.252
19	PM_OCQ_415	2019	56	0.218
20	PM_OCQ_416	2019	54	0.208
21	PM_OCQ_417	2019	50	0.187
22	PM_OCQ_418	2019	26	0.019
23	PM_OCQ_419	2019	27	0.033
24	PM_OCQ_420	2019	55	0.268
25	PM_OCQ_421	2019	67	0.513
26	PM_OCQ_422	2019	24	0.025
27	PM_OCQ_423	2019	55	0.203
28	PM_OCQ_424	2019	51	0.159
29	PM_OCQ_425	2019	52	0.191
30	PM_OCQ_426	2019	37	0.074
31	PM_OCQ_427	2019	34	0.028
32	PM_OCQ_428	2019	46	0.108
33	PM_OCQ_429	2019	31	0.027
34	PM_OCQ_430	2019	34	0.064
35	PM_OCQ_431	2019	26	0.024
36	PM_OCQ_432	2019	51	0.169
37	PM_OCQ_433	2019	62	0.393
38	PM_OCQ_434	2019	56	0.196
39	PM_OCQ_435	2019	52	0.167
40	PM_OCQ_436	2019	57	0.216
41	PM_OCQ_437	2019	47	0.084
42	PM_OCQ_438	2019	56	0.221
43	PM_OCQ_439	2019	57	0.243
44	PM_OCQ_440	2019	68	0.471
45	PM_OCQ_441	2019	42	0.112
46	PM_OCQ_442	2019	47	0.104
47	PM_OCQ_443	2019	50	0.166
48	PM_OCQ_444	2019	62	0.314
49	PM_OCQ_445	2019	37	0.044
50	PM_OCQ_446	2019	63	0.336
51	PM_OCQ_447	2019	66	0.292
52	PM_OCQ_448	2019	57	0.29
53	PM_OCQ_449	2019	50	0.091
54	PM_OCQ_450	2019	51	0.136
55	PM_OCQ_451	2019	27	0.012
56	PM_OCQ_452	2019	67	0.367
57	PM_OCQ_453	2019	53	0.146
58	PM_OCQ_454	2019	55	0.162
59	PM_OCQ_455	2019	48	0.112
60	PM_OCQ_456	2019	43	0.087
61	PM_OCQ_457	2019	50	0.136
62	PM_OCQ_458	2019	31	0.049
63	PM_OCQ_459	2019	42	0.129
64	PM_OCQ_460	2019	50	0.147
65	PM_OCQ_461	2019	56	0.206
66	PM_OCQ_462	2019	63	0.326
67	PM_OCQ_463	2019	66	0.407
68	PM_OCQ_464	2019	51	0.147
69	PM_OCQ_465	2019	28	0.026
70	PM_OCQ_466	2019	54	0.172
71	PM_OCQ_467	2019	46	0.107
72	PM_OCQ_468	2019	52	0.197
73	PM_OCQ_469	2019	56	0.196
74	PM_OCQ_470	2019	24	0.022
75	PM_OCQ_471	2019	3	0.011
76	PM_OCQ_472	2019	32	0.009
