Pop	SampSize	Nb_LD	LD_LCI	LD_HCI	Nb_PwoP	kbar	Vk	PwoP_LCI	PwoP_HCI	Nb_SF	SF_LCI	SF_HCI	Ns	Ns_Chao	Chao_uncert	Ns_Jackknife	Jackknife_uncert
BAD	37	2.6	2.1	3.1	6.223502304	8.222222222	37.062	5.744779288	6.789264165	6	3	15	9	10	2	10.94594595	1.959412861
BEI	80	61.8	48.1	82.5	80.50632911	2.025316456	1.923	69.81888996	95.05707127	80	55	116	79	97	8	112.575	7.670092079
BET	123	57.2	45.6	73.2	79.933687	2.365384615	4.020	72.30338474	89.36447597	80	59	108	104	165	23	154.5853659	8.940369135
BRL	33	67.6	37.3	218.3	112.8947368	1.294117647	0.364	78.31152532	202.179281	111	68	208	51	162	56	89.78787879	8.515960276
CAT	240	32.6	28.7	37	39.80609418	6.857142857	42.351	38.44238735	41.27011182	40	27	65	70	76	5	80.95416667	4.108956596
CHE	51	7.5	5.6	9.4	3.793078056	10.2	177.760	3.659348275	3.936952812	4	2	12	10	11	2	11.96078431	1.386483885
EAG	21	0.2	0.2	0.3	7.296610169	5.25	7.188	5.803459347	9.824257417	7	3	21	8	8	0	8	0
FOR	122	38.4	29	51.7	40.5	2.159292035	10.453	37.78685319	43.63290088	40	26	63	113	183	23	179.4508197	10.37120429
MAI	29	6.6	3.9	9.8	11.47916667	3.866666667	8.116	9.996977001	13.47737303	11	6	27	15	27	17	19.82758621	2.158962185
MAN	185	144.3	116.7	183.7	207.4924012	1.787439614	1.771	187.7378958	231.8930861	207	167	262	207	440	59	336.2972973	15.10158443
MIR2016	444	228.0	201.8	259.4	353.5260323	2.208955224	2.872	333.7789455	375.7566088	353	302	420	402	546	28	583.5900901	16.09364557
OCQ	121	132.7	102.3	182.1	181.1242236	1.668965517	1.104	157.086233	213.8481613	180	140	239	145	239	27	229.2975207	11.96264934
MIS	37	9.0	7.2	11.1	9.578014184	5.285714286	17.633	8.693427077	10.66301374	9	5	24	14	14	1	14.97297297	0.972972973
MUS	53	248.6	172.8	427.8	371	1.164835165	0.138	245.4064247	759.8999945	367	237	764	91	280	67	165.5660377	11.4045952
SWN	38	1.8	1.6	2	4.185022026	15.2	56.560	3.922928959	4.484643559	4	2	12	5	5	0	5.973684211	0.973684211
TAQ	92	50.2	37.6	69.7	68.16194332	2.243902439	3.233	60.82061251	77.51882618	68	47	96	82	122	17	120.576087	7.480717177
TWO	43	24.9	16.9	40.4	30.20661157	2.047619048	3.617	25.85865732	36.31226813	30	18	51	42	77	20	65.44186047	6.513953073
