Missing data from input file BEINeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BEI_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          770             0000            14
       2          984             0000            10
       3          232             0000            14
       4          619             0000            24
       5           36             0000            12
       6         1018             0000            12
       7          770             0000            10
       8          557             0000             9
       9         1018             0000             9
      10         1345             0000            13
      11            4             0000           198
      12           36             0000            13
      13          759             0000            15
      14          200             0000            13
      15           62             0000             7
      16          561             0000             9
      17          984             0000             7
      18            2             0000           809
      19          355             0000            16
      20          167             0000             9
      21          770             0000             5
      22           62             0000            12
      23         1018             0000             6
      24           36             0000            12
      25          482             0000             8
      26          232             0000            10
      27         1301             0000            12
      28          557             0000            14
      29         1716             0000             6
      30          167             0000            10
      31           36             0000            10
      32          232             0000             9
      33          200             0000            11
      34          557             0000            12
      35         1018             0000             6
      36           36             0000            17
      37          100             0000            17
      38          135             0000            15
      39          232             0000            12
      40          619             0000            11
      41          770             0000            12
      42          167             0000            15
      43          135             0000            13
      44           36             0000            14
      45          232             0000            11
      46          307             0000             8
      47          200             0000            27
      48          541             0000            19
      49           36             0000            14
      50          561             0000            19
      51          157             0000            14
      52          465             0000            19
      53           36             0000            16
      54           36             0000            25
      55           36             0000            28
      56          167             0000            10
      57          759             0000            10
      58          759             0000            14
      59           36             0000            22
      60          770             0000            15
      61           25             0000            25
      62          465             0000            17
      63         1344             0000            14
      64         1345             0000            13
      65          570             0000            10
      66          759             0000            13
      67          262             0000            14
      68          135             0000            14
      69           62             0000            10
      70          167             0000            12
      71          167             0000            19
      72          167             0000            11
      73          232             0000            14
      74          167             0000            11
      75          167             0000            15
      76          232             0000            13
      77           36             0000            22
      78           75             0000            18
      79          135             0000            15
      80         1000             0000            10
-----------------------------------------------------------
Total missing data for population    1:         2053

