Missing data from input file BETNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BET_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           107
       2            4             0000           113
       3            4             0000           126
       4            4             0000           106
       5            4             0000           112
       6            4             0000           131
       7            4             0000            82
       8            4             0000           131
       9            4             0000            82
      10            4             0000           105
      11            4             0000            73
      12            4             0000           150
      13            4             0000           123
      14            4             0000           158
      15            4             0000           105
      16            3             0000            99
      17            4             0000            82
      18            4             0000            62
      19            4             0000            78
      20            4             0000            66
      21            4             0000            66
      22            4             0000           144
      23            4             0000           122
      24            4             0000           104
      25            4             0000           190
      26            4             0000           133
      27            4             0000           113
      28            4             0000            58
      29            4             0000            70
      30            4             0000           152
      31            4             0000            74
      32            4             0000            95
      33            4             0000            72
      34            4             0000            65
      35            4             0000            92
      36            4             0000            82
      37            4             0000            78
      38            4             0000           116
      39            4             0000            90
      40            4             0000            74
      41            4             0000            83
      42            4             0000            65
      43           40             0000            66
      44          202             0000            45
      45            4             0000            64
      46            4             0000            90
      47            2             0000           224
      48           10             0000            68
      49           80             0000            50
      50            4             0000            93
      51           25             0000           108
      52          176             0000            54
      53          167             0000            50
      54            4             0000           146
      55           88             0000            64
      56            4             0000           184
      57          176             0000            51
      58            4             0000            69
      59           80             0000            48
      60            4             0000           108
      61            4             0000            63
      62            4             0000           159
      63            4             0000            63
      64           80             0000            98
      65           10             0000            60
      66            4             0000           101
      67            4             0000            81
      68            4             0000            97
      69            4             0000            63
      70            4             0000            86
      71            4             0000            82
      72            4             0000            78
      73            4             0000            75
      74            4             0000           142
      75            4             0000            72
      76            4             0000           100
      77            4             0000           134
      78            4             0000            97
      79            4             0000           173
      80            4             0000            84
      81            4             0000           108
      82            4             0000            91
      83            4             0000           127
      84            4             0000            86
      85            4             0000            90
      86            4             0000            63
      87            4             0000            82
      88            4             0000           128
      89          167             0000            46
      90            4             0000            60
      91           80             0000            55
      92            4             0000            64
      93            4             0000            58
      94            4             0000            71
      95            4             0000            63
      96            4             0000            66
      97            4             0000            63
      98            4             0000            65
      99            4             0000            69
     100           49             0000            66
     101            4             0000            67
     102            4             0000            89
     103            4             0000            65
     104            4             0000            58
     105            4             0000            66
     106            4             0000            67
     107            4             0000            56
     108           42             0000            62
     109            4             0000            57
     110            4             0000            56
     111            4             0000            68
     112            4             0000            60
     113           80             0000            66
     114          152             0000            59
     115            4             0000            44
     116           80             0000            56
     117            4             0000            88
     118            4             0000           212
     119            2             0000           614
     120            2             0000           493
     121            2             0000           650
     122            2             0000           743
     123            2             0000           501
-----------------------------------------------------------
Total missing data for population    1:        13537

