Missing data from input file BETNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BET_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           80             0000            29
       2            4             0000            44
       3            4             0000            45
       4            4             0000            33
       5            4             0000            45
       6           80             0000            36
       7            4             0000            30
       8            4             0000            38
       9          225             0000            22
      10            4             0000            36
      11          225             0000            22
      12          202             0000            51
      13            4             0000            36
      14            4             0000            54
      15            4             0000            41
      16            3             0000            37
      17           84             0000            34
      18           16             0000            33
      19            4             0000            39
      20            4             0000            31
      21           25             0000            32
      22            4             0000            44
      23            4             0000            42
      24            4             0000            32
      25           37             0000           122
      26           80             0000            46
      27            4             0000            49
      28          135             0000            26
      29          167             0000            28
      30           25             0000            49
      31            4             0000            32
      32           80             0000            35
      33            4             0000            27
      34            4             0000            28
      35            4             0000            35
      36           64             0000            34
      37           62             0000            31
      38            4             0000            48
      39           78             0000            39
      40            4             0000            33
      41            4             0000            29
      42          474             0000            17
      43           40             0000            27
      44          414             0000            27
      45           69             0000            31
      46          180             0000            26
      47          225             0000            53
      48          167             0000            22
      49          275             0000            22
      50            4             0000            30
      51           25             0000            30
      52          111             0000            35
      53          167             0000            28
      54            4             0000            37
      55           88             0000            40
      56           80             0000            46
      57          115             0000            28
      58          474             0000            24
      59          167             0000            24
      60          406             0000            28
      61           75             0000            24
      62           25             0000            47
      63            4             0000            25
      64          177             0000            29
      65           85             0000            30
      66           80             0000            26
      67          225             0000            25
      68            4             0000            43
      69            4             0000            31
      70          134             0000            30
      71           80             0000            29
      72            4             0000            27
      73            4             0000            34
      74            4             0000            66
      75          135             0000            40
      76            4             0000            32
      77            4             0000            39
      78            4             0000            41
      79            4             0000            50
      80            4             0000            35
      81          225             0000            41
      82            4             0000            36
      83            4             0000            39
      84          225             0000            26
      85          406             0000            34
      86          117             0000            28
      87            4             0000            30
      88            4             0000            43
      89          167             0000            17
      90          187             0000            32
      91          225             0000            30
      92            4             0000            27
      93          167             0000            32
      94          474             0000            27
      95           16             0000            38
      96           85             0000            32
      97           22             0000            31
      98          167             0000            32
      99           59             0000            34
     100           49             0000            35
     101           22             0000            30
     102          225             0000            37
     103          183             0000            36
     104          167             0000            27
     105          158             0000            30
     106          117             0000            32
     107            4             0000            30
     108           42             0000            28
     109            4             0000            35
     110          246             0000            28
     111           55             0000            30
     112            9             0000            28
     113          167             0000            27
     114          474             0000            20
     115           84             0000            20
     116          225             0000            22
     117          167             0000            20
     118           80             0000            57
     119            4             0000           318
     120            4             0000           255
     121            4             0000           303
     122            4             0000           305
     123            4             0000           249
-----------------------------------------------------------
Total missing data for population    1:         5466

