Missing data from input file CATNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_CAT_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           132
       2            4             0000           176
       3            4             0000           124
       4            4             0000            90
       5            4             0000           140
       6            4             0000           134
       7            4             0000           123
       8            4             0000           120
       9            4             0000           154
      10            4             0000           146
      11            4             0000           138
      12            4             0000           129
      13            4             0000           112
      14            4             0000           123
      15            4             0000           147
      16            4             0000           136
      17            4             0000           155
      18            4             0000           179
      19            4             0000            99
      20            4             0000           280
      21            4             0000           132
      22            4             0000           119
      23            4             0000           133
      24            4             0000           165
      25            4             0000           142
      26            4             0000           124
      27            4             0000           142
      28            6             0000            60
      29            4             0000            74
      30            4             0000            97
      31            6             0000            62
      32            4             0000           100
      33            5             0000            73
      34            4             0000            75
      35            6             0000            63
      36            4             0000            63
      37            4             0000            69
      38            6             0000            90
      39            6             0000            64
      40            4             0000            88
      41            6             0000            60
      42            4             0000            61
      43            4             0000            69
      44            4             0000           122
      45            6             0000           126
      46            6             0000            98
      47            6             0000            63
      48            4             0000            76
      49            4             0000            83
      50            4             0000            59
      51            5             0000            87
      52            6             0000            75
      53            5             0000            83
      54            5             0000            72
      55            4             0000            65
      56            5             0000            88
      57            5             0000            69
      58            5             0000            78
      59            6             0000            59
      60            6             0000            53
      61            6             0000            63
      62            5             0000            94
      63            4             0000           125
      64            6             0000            78
      65            4             0000           112
      66            4             0000           104
      67            4             0000           112
      68            4             0000           131
      69            4             0000            84
      70            4             0000           178
      71            6             0000            66
      72            6             0000            86
      73            5             0000            95
      74            4             0000           140
      75            5             0000            76
      76            5             0000            89
      77            5             0000            81
      78            6             0000            83
      79            4             0000           116
      80            6             0000           111
      81            5             0000            79
      82            5             0000            88
      83            6             0000            79
      84            6             0000            76
      85            5             0000            70
      86            6             0000            79
      87            5             0000           120
      88            4             0000           133
      89            6             0000            82
      90            4             0000           115
      91            4             0000           101
      92            4             0000           133
      93            5             0000           136
      94            4             0000           123
      95            4             0000           158
      96            4             0000           104
      97            4             0000           103
      98            4             0000           117
      99            4             0000           107
     100            4             0000           151
     101            5             0000           100
     102            4             0000           146
     103            4             0000            97
     104            4             0000           129
     105            4             0000           130
     106            4             0000            89
     107            6             0000            76
     108            4             0000           121
     109            5             0000            89
     110            5             0000            68
     111            4             0000           127
     112            4             0000           136
     113            4             0000           148
     114            4             0000            99
     115            4             0000           125
     116            4             0000            83
     117            4             0000           111
     118            4             0000           137
     119            4             0000           123
     120            5             0000           112
     121            4             0000            88
     122            4             0000           177
     123            4             0000           118
     124            4             0000           141
     125            6             0000           108
     126            6             0000            99
     127            4             0000           105
     128            4             0000           177
     129            4             0000           141
     130            6             0000            93
     131            5             0000           103
     132            6             0000            87
     133            4             0000           148
     134            6             0000            91
     135            4             0000           134
     136            6             0000            80
     137            4             0000           113
     138            4             0000            89
     139            4             0000           131
     140            6             0000            89
     141            4             0000           191
     142            5             0000            87
     143            4             0000           208
     144            6             0000            64
     145            4             0000           188
     146            5             0000            91
     147            4             0000           201
     148            4             0000           191
     149            4             0000           201
     150            5             0000            78
     151            4             0000           684
     152            4             0000           200
     153            4             0000           196
     154            6             0000            83
     155            4             0000           209
     156            4             0000           184
     157            5             0000           106
     158            6             0000           105
     159            4             0000           254
     160            6             0000            98
     161            4             0000           265
     162            4             0000            86
     163            4             0000           313
     164            4             0000           201
     165            6             0000            71
     166            5             0000            82
     167            4             0000           183
     168            4             0000           101
     169            4             0000           232
     170            4             0000           133
     171            4             0000           101
     172            4             0000           220
     173            4             0000           184
     174            4             0000           110
     175            4             0000           196
     176            4             0000           110
     177            4             0000           197
     178            4             0000           174
     179            4             0000           217
     180            4             0000           176
     181            4             0000           108
     182            4             0000           110
     183            4             0000           104
     184            4             0000           107
     185            4             0000            88
     186            5             0000           101
     187            4             0000            90
     188            6             0000           141
     189            6             0000            94
     190            4             0000           112
     191            4             0000           119
     192            6             0000           135
     193            6             0000            89
     194            6             0000            88
     195            5             0000            89
     196            4             0000           102
     197            4             0000            92
     198            5             0000            88
     199            5             0000            75
     200            6             0000            95
     201            4             0000            88
     202            6             0000            79
     203            4             0000            86
     204            4             0000            79
     205            4             0000            80
     206            6             0000            81
     207            4             0000            98
     208            5             0000            95
     209            5             0000            88
     210            4             0000            89
     211            2             0000           146
     212            6             0000            86
     213            4             0000            94
     214            4             0000            97
     215            5             0000            99
     216            4             0000           102
     217            6             0000            72
     218            5             0000            93
     219            4             0000           133
     220            4             0000           118
     221            4             0000           102
     222            5             0000           109
     223            5             0000            83
     224            4             0000            89
     225            4             0000            96
     226            4             0000           125
     227            4             0000           104
     228            4             0000            78
     229            5             0000            68
     230            6             0000            83
     231            4             0000           104
     232            6             0000            77
     233            4             0000           112
     234            5             0000            74
     235            4             0000            81
     236            4             0000           133
     237            5             0000           103
     238            5             0000            73
     239            5             0000           134
     240            5             0000           133
-----------------------------------------------------------
Total missing data for population    1:        27916

