Missing data from input file CATNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_CAT_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           70             0000            43
       2            5             0000            64
       3            6             0000            43
       4            6             0000            26
       5            4             0000            54
       6            6             0000            61
       7            6             0000            47
       8            6             0000            47
       9            4             0000            69
      10            6             0000            61
      11            6             0000            51
      12            6             0000            52
      13            6             0000            43
      14            5             0000            43
      15            6             0000            50
      16            6             0000            46
      17            5             0000            67
      18            5             0000            78
      19            6             0000            39
      20            6             0000           157
      21            4             0000            56
      22            6             0000            45
      23            6             0000            47
      24            4             0000            63
      25            6             0000            47
      26            6             0000            47
      27            6             0000            58
      28           40             0000            27
      29          148             0000            28
      30            6             0000            36
      31            6             0000            23
      32            6             0000            26
      33           76             0000            28
      34            6             0000            28
      35            6             0000            30
      36            6             0000            33
      37          168             0000            35
      38            6             0000            61
      39            6             0000            22
      40            6             0000            33
      41            6             0000            32
      42            6             0000            28
      43            6             0000            24
      44            6             0000            80
      45            6             0000            88
      46            6             0000            54
      47            6             0000            27
      48          408             0000            28
      49            6             0000            32
      50            6             0000            28
      51            6             0000            44
      52            6             0000            29
      53            6             0000            26
      54            6             0000            38
      55           69             0000            36
      56            6             0000            25
      57            6             0000            26
      58            6             0000            31
      59            6             0000            15
      60          106             0000            18
      61            6             0000            35
      62            6             0000            34
      63            6             0000            35
      64            6             0000            26
      65            6             0000            38
      66            6             0000            39
      67            6             0000            32
      68            6             0000            36
      69            6             0000            31
      70            6             0000            55
      71            6             0000            29
      72            6             0000            44
      73            6             0000            30
      74            6             0000            94
      75            6             0000            23
      76            6             0000            29
      77            6             0000            35
      78          134             0000            35
      79            6             0000            32
      80            6             0000            75
      81            6             0000            26
      82          116             0000            33
      83            6             0000            41
      84            6             0000            37
      85            6             0000            32
      86          116             0000            39
      87            6             0000            33
      88            6             0000            42
      89          293             0000            42
      90            6             0000            32
      91            6             0000            32
      92            4             0000            47
      93            6             0000            48
      94            4             0000            40
      95            6             0000            53
      96            6             0000            42
      97            6             0000            21
      98            6             0000            50
      99            6             0000            37
     100            6             0000            57
     101            6             0000            27
     102            5             0000            62
     103            6             0000            26
     104            6             0000            45
     105            6             0000            42
     106            6             0000            35
     107            6             0000            30
     108            4             0000            49
     109            6             0000            22
     110            6             0000            20
     111            6             0000            41
     112            6             0000            40
     113            4             0000            65
     114            6             0000            39
     115            6             0000            39
     116            9             0000            31
     117            6             0000            34
     118            6             0000            52
     119            6             0000            45
     120            6             0000            34
     121            6             0000            48
     122            6             0000            74
     123            4             0000            46
     124            5             0000            56
     125            6             0000            53
     126            6             0000            57
     127            4             0000            42
     128            6             0000            56
     129            5             0000            53
     130           99             0000            55
     131            6             0000            50
     132            6             0000            52
     133            6             0000            53
     134           43             0000            50
     135            6             0000            45
     136            6             0000            44
     137            6             0000            45
     138            6             0000            52
     139            6             0000            40
     140           99             0000            47
     141            4             0000           109
     142           22             0000            34
     143            5             0000           125
     144            6             0000            38
     145            4             0000           110
     146            6             0000            51
     147            4             0000           115
     148            4             0000           122
     149            4             0000           118
     150            6             0000            39
     151            4             0000           372
     152            4             0000           123
     153            4             0000           107
     154            6             0000            46
     155            5             0000           116
     156            4             0000           115
     157            6             0000            57
     158            6             0000            64
     159            4             0000           166
     160            6             0000            59
     161            4             0000           156
     162            6             0000            30
     163            4             0000           208
     164            6             0000           117
     165            6             0000            32
     166            6             0000            34
     167            5             0000           104
     168            6             0000            46
     169            5             0000           147
     170            6             0000            61
     171            6             0000            33
     172            4             0000           139
     173            4             0000           111
     174            6             0000            42
     175            5             0000           116
     176            6             0000            35
     177            4             0000           117
     178            4             0000           108
     179            4             0000           125
     180            5             0000            94
     181            6             0000            44
     182            6             0000            32
     183            6             0000            41
     184            6             0000            43
     185            6             0000            33
     186            6             0000            38
     187            6             0000            28
     188            6             0000            86
     189            6             0000            46
     190            6             0000            34
     191            6             0000            42
     192            6             0000            69
     193            6             0000            46
     194            6             0000            44
     195            6             0000            33
     196            6             0000            38
     197            6             0000            29
     198            6             0000            39
     199            6             0000            26
     200            6             0000            55
     201            6             0000            36
     202            6             0000            39
     203            6             0000            33
     204            6             0000            32
     205            6             0000            29
     206          168             0000            45
     207            6             0000            40
     208            6             0000            38
     209            6             0000            42
     210            6             0000            41
     211            6             0000            48
     212            6             0000            33
     213          148             0000            37
     214            6             0000            52
     215            6             0000            41
     216            2             0000          2640
     217            6             0000            41
     218            6             0000            20
     219            6             0000            31
     220            6             0000            42
     221            6             0000            43
     222            6             0000            37
     223            6             0000            42
     224            6             0000            21
     225            6             0000            37
     226            6             0000            36
     227            5             0000            48
     228            6             0000            30
     229          148             0000            26
     230            6             0000            28
     231            6             0000            29
     232            6             0000            29
     233           77             0000            41
     234            6             0000            34
     235            6             0000            24
     236            6             0000            24
     237            6             0000            41
     238          115             0000            50
     239            6             0000            26
     240            5             0000            47
     241            5             0000            32
-----------------------------------------------------------
Total missing data for population    1:        14862

