Missing data from input file FORNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_FOR_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          318             0000            20
       2           75             0000            11
       3          210             0000            25
       4          318             0000            23
       5          462             0000             7
       6           75             0000            18
       7          292             0000            21
       8          318             0000            14
       9          318             0000            26
      10          130             0000            13
      11          210             0000            47
      12          136             0000            32
      13          100             0000            53
      14           12             0000           107
      15           25             0000            41
      16          292             0000            47
      17           25             0000            48
      18          318             0000            31
      19          210             0000            58
      20          100             0000            59
      21           73             0000            81
      22          100             0000           117
      23          210             0000            34
      24            2             0000           219
      25          318             0000            19
      26          318             0000            18
      27          100             0000            54
      28            2             0000           180
      29           98             0000           120
      30          318             0000            15
      31          466             0000            17
      32          210             0000            25
      33          318             0000            34
      34          318             0000            27
      35          128             0000            69
      36          210             0000            56
      37          466             0000             8
      38          210             0000            23
      39          318             0000            15
      40          210             0000            61
      41          210             0000            24
      42          210             0000            38
      43          318             0000            32
      44          128             0000            49
      45            2             0000            68
      46          673             0000            27
      47          318             0000            27
      48          210             0000            32
      49          318             0000            24
      50           75             0000            25
      51          210             0000            63
      52          128             0000            53
      53           12             0000            81
      54          100             0000            32
      55          100             0000            34
      56          210             0000            28
      57          100             0000            55
      58           72             0000           114
      59            2             0000           877
      60            2             0000           104
      61          318             0000            10
      62          318             0000            15
      63          210             0000            15
      64          210             0000            39
      65          318             0000            18
      66          100             0000            89
      67          318             0000            16
      68          210             0000            31
      69          210             0000            51
      70          100             0000            24
      71          100             0000            42
      72          100             0000            38
      73          100             0000            33
      74          100             0000            35
      75          466             0000            13
      76          318             0000            28
      77          100             0000            28
      78          100             0000            35
      79          210             0000            48
      80          210             0000            22
      81          210             0000            16
      82            2             0000            46
      83           87             0000            23
      84          210             0000            24
      85          318             0000            15
      86          210             0000            20
      87          210             0000            24
      88          210             0000            17
      89          210             0000            18
      90          100             0000           108
      91           72             0000            58
      92          318             0000            30
      93          210             0000            22
      94          210             0000            32
      95          210             0000            27
      96          210             0000            18
      97          318             0000            10
      98          292             0000            37
      99          210             0000            20
     100          318             0000            38
     101          210             0000            24
     102          210             0000            59
     103           72             0000            56
     104           72             0000            66
     105           72             0000            66
     106           26             0000            92
     107           25             0000           150
     108           72             0000            78
     109            2             0000            50
     110          100             0000            50
     111           72             0000            79
     112           25             0000            73
     113          216             0000            52
     114           75             0000            66
     115          210             0000            40
     116           26             0000            67
     117          210             0000            36
     118           72             0000            55
     119          210             0000            54
     120           26             0000            81
     121           26             0000            94
     122            7             0000           147
-----------------------------------------------------------
Total missing data for population    1:         6448

