Missing data from input file FORNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_FOR_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          463             0000            11
       2           75             0000             6
       3          673             0000             5
       4          673             0000             7
       5          673             0000             1
       6           75             0000             9
       7          325             0000             6
       8          673             0000             4
       9          318             0000             6
      10          653             0000             2
      11          462             0000             7
      12          136             0000             5
      13          136             0000             5
      14          673             0000             8
      15          318             0000             5
      16          673             0000             7
      17          673             0000             4
      18          318             0000             7
      19          462             0000            11
      20          159             0000             9
      21          673             0000             7
      22          318             0000            11
      23          318             0000             5
      24          673             0000            17
      25          382             0000             5
      26          318             0000             6
      27          100             0000             9
      28          318             0000            16
      29          673             0000             9
      30          673             0000             4
      31          673             0000             2
      32          292             0000             6
      33          653             0000             8
      34          673             0000             5
      35          318             0000             8
      36          673             0000             7
      37          159             0000             3
      38          318             0000             8
      39         1491             0000             5
      40         1246             0000             5
      41          563             0000             7
      42          673             0000             7
      43          318             0000             4
      44          210             0000            13
      45          130             0000             9
      46          673             0000             4
      47          318             0000             8
      48          318             0000            11
      49          673             0000             7
      50           75             0000            12
      51          318             0000             6
      52          318             0000             7
      53          318             0000             8
      54          673             0000             6
      55          673             0000             6
      56          673             0000             6
      57          318             0000             6
      58          292             0000            19
      59            2             0000           703
      60            2             0000            11
      61          673             0000             4
      62          985             0000             4
      63          673             0000             3
      64          318             0000             7
      65          673             0000             6
      66          318             0000             9
      67          673             0000             1
      68          673             0000             6
      69          318             0000             9
      70          673             0000             4
      71          318             0000             8
      72          318             0000             7
      73          159             0000            10
      74          318             0000            10
      75          673             0000             3
      76          673             0000             4
      77          159             0000             5
      78          292             0000             8
      79          318             0000             9
      80          653             0000             4
      81          673             0000             5
      82          673             0000             6
      83           87             0000             8
      84          673             0000             6
      85          673             0000             5
      86          673             0000             8
      87          318             0000             8
      88          318             0000             5
      89          673             0000            10
      90          382             0000            15
      91          318             0000            13
      92          673             0000             6
      93          318             0000             9
      94          318             0000             8
      95          673             0000             4
      96          673             0000             4
      97          673             0000             4
      98          432             0000             7
      99          318             0000             5
     100          673             0000             7
     101          318             0000             5
     102          318             0000            12
     103          210             0000            13
     104          318             0000            14
     105          136             0000            12
     106          168             0000            20
     107          210             0000            31
     108          318             0000            13
     109            2             0000            26
     110          318             0000            13
     111          210             0000            19
     112          318             0000            14
     113          318             0000            15
     114           75             0000            19
     115          318             0000             9
     116          318             0000            21
     117          673             0000             8
     118          462             0000             7
     119          318             0000            12
     120          318             0000            19
     121          318             0000            21
     122          318             0000            29
-----------------------------------------------------------
Total missing data for population    1:         1747

