Missing data from input file MANNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MAN_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          318             0000            19
       2          100             0000            28
       3          356             0000            16
       4            2             0000            20
       5          318             0000            19
       6          103             0000            35
       7          318             0000            23
       8          423             0000            15
       9          423             0000            13
      10          168             0000            15
      11          168             0000            24
      12          168             0000            20
      13          423             0000            19
      14          318             0000            21
      15          318             0000            20
      16          281             0000            27
      17          438             0000            16
      18          168             0000            22
      19          292             0000            18
      20          318             0000            32
      21          318             0000            21
      22          269             0000            30
      23          168             0000            20
      24          318             0000            21
      25          269             0000            18
      26          159             0000            19
      27          168             0000            15
      28          159             0000            19
      29          423             0000            16
      30          293             0000            22
      31          423             0000            14
      32          423             0000            15
      33          168             0000            16
      34          423             0000            25
      35          103             0000            20
      36            2             0000           109
      37          423             0000            23
      38          136             0000            20
      39          154             0000            21
      40          423             0000            16
      41          423             0000            18
      42          264             0000            18
      43          168             0000            18
      44          558             0000            11
      45          154             0000            20
      46          423             0000            20
      47          168             0000            20
      48          423             0000            18
      49          168             0000            17
      50         1110             0000            11
      51          263             0000            17
      52          136             0000            15
      53          168             0000            18
      54          292             0000            30
      55          423             0000            17
      56          168             0000             9
      57          168             0000            16
      58          269             0000            12
      59          168             0000            17
      60          168             0000            19
      61          219             0000            18
      62          154             0000            28
      63          263             0000            26
      64          423             0000            22
      65          894             0000            10
      66          263             0000            18
      67          423             0000            16
      68          423             0000            18
      69          168             0000            11
      70          269             0000            22
      71          168             0000            10
      72          293             0000            13
      73          423             0000            19
      74          168             0000            21
      75          136             0000            24
      76          168             0000            17
      77          318             0000            21
      78          318             0000            19
      79           19             0000            51
      80          318             0000            20
      81          423             0000            20
      82          168             0000            21
      83          318             0000            32
      84          168             0000            18
      85          210             0000            25
      86          318             0000            29
      87           25             0000            44
      88          318             0000            32
      89           75             0000            38
      90          318             0000            28
      91          318             0000            27
      92          292             0000            39
      93          100             0000            37
      94          318             0000            34
      95          117             0000            35
      96          318             0000            32
      97          423             0000            18
      98          159             0000            20
      99          318             0000            26
     100          371             0000            19
     101          318             0000            27
     102           87             0000            35
     103           12             0000            66
     104          423             0000            20
     105          292             0000            26
     106          558             0000            18
     107          168             0000            25
     108          168             0000            20
     109          263             0000            21
     110          100             0000            32
     111          293             0000            30
     112          183             0000            45
     113          265             0000            24
     114          100             0000            49
     115          168             0000            20
     116           75             0000            41
     117          423             0000            17
     118          292             0000            26
     119          168             0000            19
     120          558             0000            18
     121          350             0000            20
     122          423             0000            18
     123          318             0000            19
     124         1240             0000            13
     125          168             0000            20
     126          136             0000            25
     127          210             0000            21
     128          130             0000            18
     129          210             0000            13
     130          423             0000            20
     131          423             0000            17
     132          168             0000            28
     133          318             0000            21
     134          136             0000            37
     135          117             0000            21
     136          117             0000            34
     137          360             0000            24
     138          423             0000            18
     139          423             0000            14
     140          117             0000            49
     141          136             0000            24
     142          159             0000            29
     143          168             0000            15
     144          207             0000            29
     145          293             0000            19
     146          207             0000            16
     147           75             0000            17
     148          100             0000            17
     149          423             0000            15
     150          136             0000            29
     151          168             0000            22
     152          119             0000            17
     153          182             0000            22
     154          210             0000            20
     155          423             0000            16
     156          168             0000            18
     157           19             0000           113
     158          423             0000            13
     159          318             0000            19
     160          423             0000            22
     161          168             0000            20
     162          293             0000            27
     163          318             0000            22
     164          318             0000            21
     165          423             0000            18
     166           87             0000            15
     167          168             0000            21
     168           16             0000            29
     169          136             0000            23
     170          210             0000            28
     171          210             0000            39
     172          210             0000            33
     173          318             0000            29
     174           75             0000            47
     175          128             0000            44
     176          117             0000            45
     177          292             0000            39
     178            2             0000           920
     179          210             0000            38
     180          210             0000            47
     181          136             0000            30
     182          318             0000            33
     183           12             0000           120
     184          100             0000            52
     185          159             0000            27
-----------------------------------------------------------
Total missing data for population    1:         5509

