Missing data from input file MANNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MAN_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1         2086             0000             5
       2          894             0000             8
       3          356             0000             7
       4          168             0000             8
       5          894             0000            12
       6          318             0000             8
       7          894             0000             8
       8         2091             0000             4
       9          168             0000             5
      10          168             0000             5
      11          168             0000             9
      12          550             0000             5
      13          501             0000             7
      14          894             0000             4
      15         2091             0000             7
      16          292             0000             8
      17          894             0000            10
      18         2317             0000             6
      19          168             0000             8
      20          168             0000             8
      21          894             0000             4
      22          758             0000             7
      23          168             0000             7
      24          423             0000             8
      25          168             0000             8
      26          432             0000            26
      27          894             0000             7
      28          269             0000             8
      29          154             0000            13
      30          894             0000             9
      31          556             0000             8
      32          894             0000             6
      33          168             0000             8
      34         1222             0000             4
      35          154             0000            10
      36         1095             0000             7
      37          168             0000            12
      38         1962             0000             6
      39          168             0000             6
      40         1229             0000             2
      41          410             0000            11
      42         1620             0000            10
      43          168             0000            10
      44         1341             0000            11
      45          901             0000             6
      46          168             0000             3
      47          168             0000             6
      48          269             0000             3
      49          168             0000             7
      50          168             0000             8
      51          219             0000            10
      52          154             0000             8
      53         1263             0000            12
      54          466             0000             6
      55         2928             0000             1
      56          265             0000            11
      57          841             0000             7
      58          955             0000             7
      59          168             0000             6
      60          269             0000            12
      61          168             0000             5
      62          293             0000             6
      63         1201             0000             5
      64          168             0000             8
      65          136             0000            11
      66          168             0000             6
      67          423             0000            10
      68           19             0000            19
      69          894             0000             8
      70          423             0000            11
      71          168             0000            10
      72          371             0000            12
      73          168             0000             8
      74          803             0000            11
      75          423             0000             9
      76          281             0000            11
      77          371             0000            12
      78          168             0000            12
      79          413             0000             9
      80          591             0000             9
      81          413             0000            12
      82          318             0000             7
      83          466             0000             9
      84          466             0000             9
      85          466             0000            10
      86          526             0000             4
      87         1620             0000             7
      88          318             0000             7
      89          558             0000             7
      90          318             0000             6
      91          117             0000            10
      92          350             0000            12
      93          558             0000            10
      94          292             0000             9
      95         1999             0000             5
      96          168             0000             7
      97          168             0000             8
      98          318             0000             7
      99          466             0000             9
     100          293             0000             9
     101          558             0000            13
     102          265             0000             9
     103          318             0000            17
     104          168             0000             5
     105           75             0000            10
     106          558             0000             6
     107          558             0000             8
     108          168             0000             9
     109          558             0000             7
     110         1771             0000             8
     111         1342             0000             5
     112         1240             0000             8
     113          168             0000             7
     114          136             0000            12
     115          117             0000             8
     116          130             0000            11
     117          550             0000             5
     118          561             0000             8
     119          168             0000            10
     120         2086             0000             5
     121          136             0000            12
     122          269             0000            11
     123          371             0000             9
     124          360             0000             9
     125         1201             0000             9
     126         2091             0000             5
     127          210             0000            22
     128          269             0000            11
     129          371             0000            13
     130          168             0000             8
     131          207             0000             7
     132          293             0000             7
     133          207             0000             7
     134           75             0000             8
     135         1961             0000             6
     136          263             0000             7
     137          168             0000            15
     138          168             0000             8
     139          119             0000             7
     140          182             0000            11
     141          210             0000             8
     142         2355             0000             4
     143          168             0000             8
     144          130             0000            27
     145          987             0000             7
     146          894             0000             5
     147         1047             0000            10
     148          168             0000             6
     149          293             0000            12
     150          894             0000             9
     151          318             0000             8
     152          894             0000             6
     153          894             0000             8
     154          168             0000             7
     155           16             0000            14
     156          136             0000            17
     157          318             0000             9
     158          318             0000             9
     159          423             0000             9
     160          586             0000            10
     161           75             0000            24
     162          591             0000            12
     163          318             0000            14
     164          894             0000             9
     165            2             0000           729
     166          281             0000            15
     167          423             0000            14
     168          438             0000             8
     169            2             0000            28
     170          318             0000            18
     171          168             0000             9
-----------------------------------------------------------
Total missing data for population    1:         2255

