Missing data from input file MIRNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MIR_003]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           48             0000            42
       2            4             0000            83
       3            8             0000           102
       4            4             0000            67
       5            4             0000            59
       6            4             0000            97
       7            4             0000            56
       8           72             0000            50
       9            4             0000            53
      10           68             0000            40
      11            4             0000            88
      12            4             0000            75
      13            2             0000          1333
-----------------------------------------------------------
Total missing data for population    1:         2145

Population 2 [PM_MIR_011]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           58             0000            54
       2            4             0000            49
       3           48             0000            37
       4            4             0000            71
       5            4             0000            57
       6           48             0000            41
       7            9             0000            75
       8            4             0000            67
       9            9             0000            51
      10           72             0000            57
      11            4             0000            65
      12            4             0000            52
      13            4             0000            75
      14           52             0000            56
      15           72             0000            56
      16            4             0000            48
      17           49             0000            53
      18           72             0000            37
      19           72             0000            46
      20            4             0000            74
      21            4             0000            39
      22            4             0000            88
      23            4             0000            45
      24            4             0000            57
      25            4             0000            56
      26            4             0000            65
      27           72             0000            59
      28            4             0000            48
      29            4             0000            74
      30            4             0000            79
      31            4             0000            57
      32            4             0000            68
      33            4             0000            48
      34            4             0000            53
      35            4             0000            67
      36           48             0000            63
      37           10             0000            40
      38           49             0000            42
      39            4             0000            84
      40          191             0000            41
      41            4             0000            78
      42           52             0000            85
      43            4             0000            52
      44            4             0000            32
      45           48             0000            61
      46           72             0000            47
      47            4             0000            58
      48            4             0000            60
      49           48             0000            33
      50            4             0000           103
      51            4             0000            89
      52            4             0000            49
      53            4             0000            83
      54            4             0000            75
      55            4             0000            82
      56            4             0000            62
      57            4             0000           124
      58            4             0000            60
      59            4             0000            92
      60           61             0000            58
      61            4             0000            65
      62           72             0000            82
      63            4             0000            47
      64            4             0000            79
      65            4             0000            53
      66            4             0000            76
      67           48             0000            57
      68            4             0000            78
      69            2             0000           102
      70            4             0000            57
      71            4             0000            76
      72            4             0000            62
      73            4             0000            70
      74            4             0000           106
      75            4             0000            72
      76           72             0000            91
      77            4             0000            69
      78            4             0000            97
      79           72             0000            29
      80            4             0000            72
      81            4             0000            91
      82            4             0000            88
      83            9             0000            37
      84            4             0000            60
      85            4             0000           122
      86           72             0000            39
      87            4             0000           103
      88            8             0000            43
      89            4             0000            92
      90            3             0000           155
      91            4             0000           103
      92            4             0000            83
      93           72             0000            54
      94            4             0000           139
      95            4             0000            55
      96            4             0000            75
      97            4             0000            85
      98            4             0000           115
      99            4             0000            55
     100            4             0000           135
     101           72             0000            36
     102            4             0000            84
     103            4             0000            98
     104            4             0000            96
     105            3             0000           114
     106            2             0000           218
     107            2             0000           100
     108            2             0000           148
     109          180             0000            39
     110            1             0000           201
     111            4             0000            49
     112            2             0000           134
     113            2             0000           110
     114           48             0000            47
     115            4             0000            99
     116            4             0000            87
     117            2             0000           139
     118            1             0000           257
     119            1             0000           286
     120            1             0000           393
     121            4             0000           163
     122            9             0000            65
     123            4             0000           108
     124            2             0000           512
     125            4             0000            55
     126            4             0000           120
     127            4             0000            86
     128            4             0000            55
     129           70             0000            46
     130            4             0000            57
     131            9             0000            92
     132            4             0000           117
     133            4             0000            71
     134            4             0000            65
     135            4             0000           104
     136           72             0000            57
     137            4             0000           112
     138            4             0000           123
     139            4             0000            89
     140            4             0000            67
     141            4             0000           135
     142            4             0000            45
     143            4             0000            65
     144            4             0000            67
     145            4             0000            55
     146            4             0000            80
     147            4             0000            48
     148            4             0000            66
     149            4             0000            60
     150            4             0000            48
     151            4             0000           106
     152            9             0000            53
     153           11             0000            50
     154            4             0000            45
     155            4             0000            65
     156            4             0000            78
     157            4             0000            61
     158            4             0000            52
     159            4             0000            77
     160            4             0000            58
     161            4             0000            54
     162            4             0000            61
     163            4             0000            75
     164            4             0000            58
     165            4             0000            55
     166            4             0000           121
     167            4             0000            75
     168            2             0000           111
     169            4             0000            50
     170            4             0000            81
     171            4             0000            48
     172            4             0000            75
     173           48             0000            76
     174            4             0000            99
     175            4             0000            65
     176            7             0000            67
     177           72             0000            45
     178            4             0000            71
     179            4             0000            54
     180           72             0000            55
     181            4             0000            52
     182            9             0000            71
     183           52             0000            53
     184            4             0000            76
     185            4             0000            61
     186            4             0000            77
     187            4             0000           159
     188            4             0000           196
     189            4             0000           186
