Missing data from input file MIRNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MIR_011]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          168             0000            28
       2          265             0000            24
       3            9             0000            28
       4            4             0000            23
       5           48             0000            24
       6           72             0000            33
       7          188             0000            25
       8            9             0000            30
       9          140             0000            27
      10           48             0000            24
      11          160             0000            23
      12           38             0000            22
      13           52             0000            34
      14          318             0000            25
      15          188             0000            21
      16          168             0000            28
      17          136             0000            17
      18          177             0000            25
      19           29             0000            47
      20           22             0000            35
      21          246             0000            14
      22          168             0000            27
      23          843             0000            14
      24           72             0000            16
      25          127             0000            31
      26           72             0000            16
      27           70             0000            26
      28           72             0000            28
      29            9             0000            21
      30          168             0000            20
      31          168             0000            17
      32          820             0000            15
      33          227             0000            19
      34          103             0000            44
      35            9             0000            20
      36          140             0000            18
      37          227             0000            20
      38          227             0000            23
      39           48             0000            22
      40          293             0000            46
      41           72             0000            11
      42           48             0000            13
      43           48             0000            21
      44          106             0000            16
      45          531             0000            18
      46           48             0000            22
      47           48             0000            18
      48          299             0000            16
      49           48             0000            12
      50           72             0000            18
      51           72             0000            21
      52            8             0000            22
      53          180             0000            19
      54          168             0000            21
      55          115             0000            68
      56          177             0000            13
      57           72             0000            21
      58           61             0000            18
      59           70             0000            20
      60          168             0000            43
      61          213             0000            17
      62          168             0000            21
      63           48             0000            19
      64            9             0000            26
      65           48             0000            22
      66           48             0000            29
      67           52             0000            53
      68           48             0000            24
      69           68             0000            20
      70           72             0000            29
      71           72             0000            20
      72           72             0000            19
      73          113             0000            22
      74           72             0000            23
      75          353             0000            25
      76          542             0000            18
      77            4             0000            23
      78          168             0000            16
      79           52             0000            18
      80           48             0000            23
      81           22             0000            18
      82          168             0000            20
      83            4             0000            21
      84            4             0000            24
      85          168             0000            22
      86          213             0000            24
      87            8             0000            21
      88           22             0000            22
      89            4             0000            27
      90          208             0000            33
      91            4             0000            16
      92          605             0000            16
      93            4             0000            34
      94           78             0000            16
      95          188             0000            18
      96           48             0000            29
      97           48             0000            34
      98          188             0000            25
      99            4             0000            46
     100          168             0000            18
     101            2             0000            21
     102            4             0000            31
     103            4             0000            28
     104            4             0000            31
     105            4             0000            54
     106           72             0000            27
     107            4             0000            44
     108          320             0000            15
     109            1             0000            47
     110          177             0000            22
     111            4             0000            27
     112          106             0000            22
     113           72             0000            19
     114          177             0000            16
     115            4             0000            27
     116            2             0000            51
     117            4             0000            55
     118            2             0000            91
     119            9             0000            58
     120           48             0000            18
     121          843             0000            17
     122            4             0000           108
     123          168             0000            13
     124            9             0000            25
     125           22             0000            27
     126           48             0000            30
     127            4             0000            17
     128           70             0000            28
     129           72             0000            24
     130           72             0000            21
     131           72             0000            48
     132          227             0000            19
     133           52             0000            27
     134          177             0000            21
     135           72             0000            16
     136           48             0000            21
     137            9             0000            19
     138            4             0000            25
     139           22             0000            32
     140           55             0000            19
     141           72             0000            24
     142           72             0000            19
     143           20             0000            25
     144            4             0000            21
     145           72             0000            20
     146          249             0000            21
     147           72             0000            22
     148           72             0000            19
     149           72             0000            19
     150          226             0000            21
     151           52             0000            24
     152          188             0000            19
     153           72             0000            17
     154          804             0000            26
     155            9             0000            20
     156           55             0000            21
     157           38             0000            24
     158          274             0000            14
     159           52             0000            25
     160            4             0000            21
     161           43             0000            20
     162           72             0000            22
     163          227             0000            32
     164            4             0000            30
     165          136             0000            28
     166          142             0000            72
     167          249             0000            18
     168            9             0000            40
     169          106             0000            22
     170           72             0000            20
     171            9             0000            22
     172           22             0000            29
     173          605             0000            17
     174            7             0000            27
     175          140             0000            11
     176          168             0000            20
     177           72             0000            19
     178           72             0000            22
     179           72             0000            19
     180            9             0000            21
     181          536             0000            22
     182          106             0000            17
     183          605             0000            14
     184          371             0000            16
     185            4             0000            66
     186            4             0000            89
     187            4             0000            75
     188            4             0000            89
     189            4             0000            86
     190            4             0000           102
     191            4             0000            96
     192           73             0000            26
     193            4             0000            97
     194            4             0000           121
     195            4             0000            81
     196           46             0000            59
     197            4             0000            87
     198            4             0000           133
     199          400             0000            18
     200            4             0000            89
     201            4             0000            83
     202            4             0000           125
     203            4             0000           138
     204          168             0000            28
     205           38             0000            18
     206           48             0000            24
     207          111             0000            27
     208           48             0000            19
     209           29             0000            22
     210           22             0000            24
     211            9             0000            39
     212          353             0000            22
     213          820             0000            15
     214           48             0000            17
     215          168             0000            17
     216           22             0000            28
     217          318             0000            26
     218          106             0000            38
     219            9             0000            27
     220           52             0000            31
     221           72             0000            17
     222          177             0000            27
     223           75             0000            22
     224          227             0000            22
     225            9             0000            26
     226            4             0000            25
     227          332             0000            17
     228           91             0000            29
     229          227             0000            28
     230           52             0000            23
     231           47             0000            29
     232          177             0000            20
     233          227             0000            25
     234          177             0000            38
     235           72             0000            22
     236          150             0000            30
     237           88             0000            19
     238           70             0000            23
     239           72             0000            16
     240          369             0000            25
     241            9             0000            22
     242           48             0000            19
     243            9             0000            19
     244          111             0000            19
     245          375             0000            20
     246           48             0000            26
     247          168             0000            18
     248          369             0000            22
     249          177             0000            18
     250           38             0000            17
     251           48             0000            18
     252           72             0000            26
     253           48             0000            23
     254          332             0000            24
     255           72             0000            23
     256           72             0000            31
     257           72             0000            22
     258          108             0000            17
     259          213             0000            23
     260          121             0000            30
     261           48             0000            17
     262           75             0000            11
     263            1             0000           467
     264           55             0000            15
     265           72             0000            20
     266          353             0000            22
     267           48             0000            23
     268          168             0000            30
     269          136             0000            20
     270            4             0000            19
     271           81             0000            25
     272           48             0000            20
     273            4             0000           228
     274          188             0000            22
     275          168             0000            23
     276           26             0000            22
     277          136             0000            21
     278           73             0000            23
     279          116             0000            23
     280          361             0000            25
     281           90             0000            27
     282          136             0000            15
     283          136             0000            11
     284          296             0000            30
     285            9             0000            30
     286          159             0000            20
     287          466             0000            24
     288           88             0000            25
     289          134             0000            20
     290          167             0000            22
     291          318             0000            16
     292            4             0000            27
     293           72             0000            18
     294          136             0000            21
     295           90             0000            25
     296          531             0000            18
     297          159             0000            21
     298          194             0000            21
     299          136             0000            18
     300          136             0000            18
     301           72             0000            17
     302          168             0000            24
     303            9             0000            24
     304           48             0000            22
     305            4             0000            37
     306          168             0000            20
     307           72             0000            18
     308            9             0000            20
     309          137             0000            22
     310           48             0000            16
     311          266             0000            22
     312           72             0000            23
     313          146             0000            35
     314            9             0000            31
     315          168             0000            20
     316          558             0000            23
     317            9             0000            31
     318            9             0000            27
     319           26             0000            25
     320          188             0000            17
     321          140             0000            18
     322          542             0000            19
     323           72             0000            32
     324           47             0000            23
     325            4             0000            22
     326          369             0000            25
     327            4             0000            17
     328          227             0000            26
     329            4             0000            34
     330            4             0000            29
     331           48             0000            33
     332           29             0000            30
     333           52             0000            23
     334           72             0000            24
     335           72             0000            27
     336           22             0000            19
     337           48             0000            47
     338            4             0000            24
     339            8             0000            23
     340            4             0000            23
     341           72             0000            32
     342           72             0000            21
     343            4             0000            26
     344           72             0000            20
     345            9             0000            31
     346            4             0000            29
     347            9             0000            22
     348            4             0000            32
     349           72             0000            15
     350            4             0000            44
     351            4             0000            41
     352           48             0000            33
     353          148             0000            18
     354           26             0000            27
     355           72             0000            14
     356           51             0000            30
     357           71             0000            20
     358          168             0000            17
     359           72             0000            22
     360            9             0000            61
     361           72             0000            26
     362           72             0000            20
     363          203             0000            25
     364          292             0000            20
     365           72             0000            25
     366         1009             0000            15
     367           18             0000            36
     368           52             0000            23
     369            4             0000            27
     370           22             0000            21
     371            9             0000            34
     372           37             0000            20
     373          103             0000            23
     374           22             0000            21
     375          207             0000            26
     376          820             0000            16
     377           22             0000            25
     378          318             0000            19
     379           72             0000            38
     380           72             0000            36
     381           22             0000            33
     382            9             0000            33
     383            9             0000            39
     384            9             0000            35
     385           72             0000            26
     386          177             0000            31
     387          464             0000            24
     388            4             0000            29
     389            4             0000            64
     390            4             0000            74
     391            4             0000           117
     392            4             0000            60
     393            4             0000           142
