Pop	SampSize	weight	compare	r	r^2	Nb	Para_LCI	Para_HCI	Jack_LCI	Jack_HCI	df
BAD	37	25.2	2553535	0.092425	0.036774	2.8	2.8	2.8	2.3	3.3	676
BEI	160	145.3	3174147	0.018992	0.006881	25.3	25.2	25.3	23.2	27.5	3266
BET	246	220.9	3133902	0.01416	0.004405	32	31.9	32	29.3	34.8	2516
BRL	33	30	2988450	0.038943	0.034665	75.8	74.7	77	42.3	232.7	1272
CAT	241	219.5	3122738	0.014061	0.004547	32.8	32.7	32.9	29.2	36.9	1416
CHE	51	48	1560217	0.050144	0.021766	9.1	9	9.1	7.2	11.2	1008
EAG	21	18.7	3220390	0.079043	0.060918	15.1	15	15.2	2.8	Infinite	65
FOR	122	97.7	3120585	0.015946	0.009124	46.7	46.5	46.9	35.4	63.1	560
MAI	30	27	2980404	0.072645	0.040688	7.5	7.4	7.5	4.7	11	489
MAN	185	164.4	3096649	0.008163	0.005863	142.8	142	143.7	118	176.9	2458
MIR2016	447	360	3082946	0.004009	0.002534	223.9	222.9	224.9	199.3	253.1	4062
MIS	37	34.5	2822163	0.057558	0.0312	10	10	10.1	8.1	12.3	1516
MUS	53	49.3	3077902	0.022328	0.020952	240.2	234.2	246.6	164.2	429.5	10103
OCQ	121	110.6	3150770	0.011467	0.009015	133.9	132.9	134.9	105.3	178	2585
STE	105	85.7	2871207	0.045913	0.011104	6.5	6.5	6.6	5.2	7.8	1299
SWN	39	28.3	2525283	0.116552	0.034986	1.9	1.9	1.9	1.7	2.1	1449
TAQ	94	85	3023020	0.017971	0.011766	51.6	51.3	51.8	39	70.6	816
TWO2018	37	34.4	2949465	0.044594	0.030954	22.2	22	22.3	15.3	33.9	675
