Missing data from input file Neestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BAD_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            1             0000           622
       2            1             0000           648
       3            1             0000           834
       4            1             0000           599
       5            1             0000           906
       6            1             0000           814
       7            1             0000           688
       8            1             0000           608
       9            1             0000           639
      10            1             0000           629
      11            1             0000           657
      12            1             0000           658
      13            1             0000           647
      14            1             0000           705
      15            1             0000           695
      16            1             0000           659
      17            1             0000           583
      18            1             0000           579
      19            1             0000           652
      20            1             0000           629
      21            1             0000           600
      22            1             0000           579
      23            1             0000           631
      24            1             0000           818
      25            1             0000           575
      26            1             0000           577
      27            1             0000           717
      28            1             0000           637
      29            1             0000           731
      30            1             0000           875
      31            1             0000           672
      32            1             0000           608
      33            1             0000           671
      34            1             0000           579
      35            1             0000           674
      36            1             0000           746
      37            1             0000          1040
-----------------------------------------------------------
Total missing data for population    1:        25181

Population 2 [PM_BEI_001.x]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           171
       2            4             0000           171
       3            4             0000           117
       4            4             0000           117
       5            4             0000           125
       6            4             0000           125
       7            4             0000           245
       8            4             0000           245
       9            4             0000           130
      10            4             0000           130
      11            4             0000           135
      12            4             0000           135
      13            4             0000           121
      14            4             0000           121
      15            4             0000           135
      16            4             0000           135
      17            4             0000           104
      18            4             0000           104
      19            4             0000           117
      20            4             0000           117
      21            1             0000          1602
      22            1             0000          1602
      23            4             0000           141
      24            4             0000           141
      25            4             0000           130
      26            4             0000           130
      27            4             0000           142
      28            4             0000           142
      29            4             0000           116
      30            4             0000           116
      31            4             0000           108
      32            4             0000           108
      33            4             0000           105
      34            4             0000           105
      35            2             0000          1259
      36            2             0000          1259
      37            4             0000           299
      38            4             0000           299
      39            4             0000           111
      40            4             0000           111
      41            4             0000           131
      42            4             0000           131
      43            4             0000           107
      44            4             0000           107
      45            4             0000           100
      46            4             0000           100
      47            4             0000           125
      48            4             0000           125
      49            4             0000           123
      50            4             0000           123
      51            4             0000           126
      52            4             0000           126
      53            4             0000           120
      54            4             0000           120
      55            4             0000           192
      56            4             0000           192
      57            4             0000           122
      58            4             0000           122
      59            4             0000           110
      60            4             0000           110
      61            4             0000           108
      62            4             0000           108
      63            4             0000           122
      64            4             0000           122
      65            4             0000           131
      66            4             0000           131
      67            4             0000           119
      68            4             0000           119
      69            4             0000            95
      70            4             0000            95
      71            4             0000           164
      72            4             0000           164
      73            4             0000           234
      74            4             0000           234
      75            4             0000           112
      76            4             0000           112
      77            4             0000           102
      78            4             0000           102
      79            4             0000           125
      80            4             0000           125
      81            4             0000           117
      82            4             0000           117
      83            4             0000           109
      84            4             0000           109
      85            4             0000           112
      86            4             0000           112
      87            4             0000           116
      88            4             0000           116
      89            4             0000           107
      90            4             0000           107
      91            4             0000           113
      92            4             0000           113
      93            4             0000           248
      94            4             0000           248
      95            4             0000           197
      96            4             0000           197
      97            4             0000           132
      98            4             0000           132
      99            4             0000           147
     100            4             0000           147
     101            4             0000           140
     102            4             0000           140
     103            4             0000           203
     104            4             0000           203
     105            4             0000           161
     106            4             0000           161
     107            4             0000           199
     108            4             0000           199
     109            4             0000           251
     110            4             0000           251
     111            4             0000           137
     112            4             0000           137
     113            4             0000           136
     114            4             0000           136
     115            4             0000           145
     116            4             0000           145
     117            4             0000           185
     118            4             0000           185
     119            4             0000           147
     120            4             0000           147
     121            4             0000           317
     122            4             0000           317
     123            4             0000           192
     124            4             0000           192
     125            4             0000           129
     126            4             0000           129
     127            4             0000           123
     128            4             0000           123
     129            4             0000           119
     130            4             0000           119
     131            4             0000           134
     132            4             0000           134
     133            4             0000           110
     134            4             0000           110
     135            4             0000           126
     136            4             0000           126
     137            4             0000           141
     138            4             0000           141
     139            4             0000           117
     140            4             0000           117
     141            4             0000           147
     142            4             0000           147
     143            1             0000           150
     144            1             0000           150
     145            4             0000           120
     146            4             0000           120
     147            4             0000           120
     148            4             0000           120
     149            4             0000           134
     150            4             0000           134
     151            4             0000           132
     152            4             0000           132
     153            4             0000           333
     154            4             0000           333
     155            4             0000           118
     156            4             0000           118
     157            4             0000           124
     158            4             0000           124
     159            1             0000           139
     160            1             0000           139
-----------------------------------------------------------
Total missing data for population    2:        28216

Population 3 [PM_BET_001.x]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           150
       2            4             0000           150
       3            4             0000           142
       4            4             0000           142
       5            4             0000           147
       6            4             0000           147
       7            4             0000           162
       8            4             0000           162
       9            4             0000           152
      10            4             0000           152
      11            4             0000           166
      12            4             0000           166
      13            4             0000           130
      14            4             0000           130
      15            4             0000           162
      16            4             0000           162
      17            4             0000           130
      18            4             0000           130
      19            4             0000           149
      20            4             0000           149
      21            4             0000           132
      22            4             0000           132
      23            4             0000           176
      24            4             0000           176
      25            4             0000           163
      26            4             0000           163
      27            4             0000           195
      28            4             0000           195
      29            4             0000           142
      30            4             0000           142
      31            3             0000           153
      32            3             0000           153
      33            4             0000           130
      34            4             0000           130
      35            4             0000           176
      36            4             0000           176
      37            4             0000           144
      38            4             0000           144
      39            4             0000           129
      40            4             0000           129
      41            4             0000           170
      42            4             0000           170
      43            4             0000           177
      44            4             0000           177
      45            4             0000           156
      46            4             0000           156
      47            4             0000           140
      48            4             0000           140
      49            4             0000           384
      50            4             0000           384
      51            4             0000           166
      52            4             0000           166
      53            4             0000           160
      54            4             0000           160
      55            4             0000           150
      56            4             0000           150
      57            4             0000           143
      58            4             0000           143
      59            4             0000           182
      60            4             0000           182
      61            4             0000           131
      62            4             0000           131
      63            1             0000           131
      64            1             0000           131
      65            4             0000           138
      66            4             0000           138
      67            4             0000           152
      68            4             0000           152
      69            4             0000           138
      70            4             0000           138
      71            4             0000           153
      72            4             0000           153
      73            4             0000           133
      74            4             0000           133
      75            4             0000           143
      76            4             0000           143
      77            4             0000           151
      78            4             0000           151
      79            4             0000           141
      80            4             0000           141
      81            4             0000           132
      82            4             0000           132
      83            4             0000           145
      84            4             0000           145
      85            4             0000           145
      86            4             0000           145
      87            4             0000           176
      88            4             0000           176
      89            4             0000           146
      90            4             0000           146
      91            4             0000           139
      92            4             0000           139
      93            2             0000           260
      94            2             0000           260
      95            4             0000           146
      96            4             0000           146
      97            4             0000           145
      98            4             0000           145
      99            1             0000           146
     100            1             0000           146
     101            4             0000           157
     102            4             0000           157
     103            4             0000           191
     104            4             0000           191
     105            4             0000           146
     106            4             0000           146
     107            4             0000           181
     108            4             0000           181
     109            4             0000           195
     110            4             0000           195
     111            4             0000           214
     112            4             0000           214
     113            4             0000           161
     114            4             0000           161
     115            4             0000           153
     116            4             0000           153
     117            4             0000           149
     118            4             0000           149
     119            4             0000           151
     120            4             0000           151
     121            4             0000           151
     122            4             0000           151
     123            4             0000           216
     124            4             0000           216
     125            4             0000           144
     126            4             0000           144
     127            4             0000           156
     128            4             0000           156
     129            4             0000           158
     130            4             0000           158
     131            4             0000           144
     132            4             0000           144
     133            4             0000           134
     134            4             0000           134
     135            4             0000           158
     136            4             0000           158
     137            4             0000           135
     138            4             0000           135
     139            4             0000           130
     140            4             0000           130
     141            4             0000           131
     142            4             0000           131
     143            4             0000           131
     144            4             0000           131
     145            4             0000           143
     146            4             0000           143
     147            4             0000           264
     148            4             0000           264
     149            4             0000           164
     150            4             0000           164
     151            4             0000           158
     152            4             0000           158
     153            4             0000           180
     154            4             0000           180
     155            4             0000           140
     156            4             0000           140
     157            4             0000           204
     158            4             0000           204
     159            4             0000           138
     160            4             0000           138
     161            4             0000           158
     162            4             0000           158
     163            4             0000           137
     164            4             0000           137
     165            4             0000           163
     166            4             0000           163
     167            4             0000           134
     168            4             0000           134
     169            4             0000           140
     170            4             0000           140
     171            4             0000           133
     172            4             0000           133
     173            4             0000           132
     174            4             0000           132
     175            4             0000           174
     176            4             0000           174
     177            4             0000           156
     178            4             0000           156
     179            4             0000           168
     180            4             0000           168
     181            4             0000           159
     182            4             0000           159
     183            4             0000           157
     184            4             0000           157
     185            4             0000           160
     186            4             0000           160
     187            4             0000           137
     188            4             0000           137
     189            4             0000           163
     190            4             0000           163
     191            4             0000           141
     192            4             0000           141
     193            4             0000           147
     194            4             0000           147
     195            4             0000           155
     196            4             0000           155
     197            4             0000           138
     198            4             0000           138
     199            4             0000           165
     200            4             0000           165
     201            4             0000           160
     202            4             0000           160
     203            4             0000           137
     204            4             0000           137
     205            4             0000           177
     206            4             0000           177
     207            4             0000           159
     208            4             0000           159
     209            4             0000           148
     210            4             0000           148
     211            4             0000           160
     212            4             0000           160
     213            4             0000           156
     214            4             0000           156
     215            4             0000           152
     216            4             0000           152
     217            4             0000           138
     218            4             0000           138
     219            4             0000           161
     220            4             0000           161
     221            4             0000           133
     222            4             0000           133
     223            4             0000           152
     224            4             0000           152
     225            4             0000           148
     226            4             0000           148
     227            4             0000           140
     228            4             0000           140
     229            4             0000           138
     230            4             0000           138
     231            4             0000           137
     232            4             0000           137
     233            4             0000           136
     234            4             0000           136
     235            4             0000           246
     236            4             0000           246
     237            2             0000           874
     238            2             0000           874
     239            2             0000           655
     240            2             0000           655
     241            2             0000           871
     242            2             0000           871
     243            2             0000           954
     244            2             0000           954
     245            2             0000           667
     246            2             0000           667
-----------------------------------------------------------
Total missing data for population    3:        45084

Population 4 [PM_BRL_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           311
       2            4             0000           246
       3            4             0000           250
       4            4             0000           247
       5            4             0000           236
       6            4             0000           263
       7            4             0000           242
       8            4             0000           237
       9            4             0000           247
      10            4             0000           247
      11            4             0000           251
      12            4             0000           250
      13            4             0000           239
      14            4             0000           239
      15            4             0000           241
      16            4             0000           246
      17            4             0000           242
      18            4             0000           257
      19            4             0000           258
      20            4             0000           248
      21            4             0000           287
      22            4             0000           260
      23            4             0000           252
      24            4             0000           294
      25            4             0000           243
      26            4             0000           251
      27            4             0000           241
      28            1             0000           472
      29            4             0000           261
      30            4             0000           264
      31            4             0000           227
      32            4             0000           243
      33            4             0000           255
-----------------------------------------------------------
Total missing data for population    4:         8547

Population 5 [PM_CAT_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           167
       2            4             0000           195
       3            4             0000           157
       4            4             0000           131
       5            4             0000           166
       6            4             0000           166
       7            4             0000           156
       8            4             0000           154
       9            4             0000           178
      10            4             0000           164
      11            4             0000           164
      12            4             0000           165
      13            4             0000           145
      14            4             0000           151
      15            4             0000           176
      16            4             0000           161
      17            4             0000           186
      18            4             0000           194
      19            4             0000           133
      20            4             0000           416
      21            4             0000           153
      22            4             0000           145
      23            4             0000           154
      24            4             0000           184
      25            4             0000           168
      26            4             0000           152
      27            4             0000           169
      28            4             0000           145
      29            4             0000           142
      30            4             0000           143
      31            4             0000           134
      32            4             0000           147
      33            4             0000           155
      34            4             0000           157
      35            4             0000           153
      36            4             0000           138
      37            4             0000           178
      38            4             0000           231
      39            4             0000           140
      40            4             0000           136
      41            4             0000           169
      42            4             0000           145
      43            4             0000           146
      44            4             0000           279
      45            4             0000           293
      46            4             0000           194
      47            4             0000           158
      48            4             0000           152
      49            4             0000           129
      50            4             0000           147
      51            4             0000           180
      52            4             0000           150
      53            4             0000           132
      54            4             0000           170
      55            4             0000           163
      56            4             0000           139
      57            4             0000           130
      58            4             0000           128
      59            4             0000           117
      60            4             0000           143
      61            4             0000           169
      62            4             0000           147
      63            4             0000           155
      64            4             0000           153
      65            4             0000           158
      66            4             0000           143
      67            4             0000           137
      68            4             0000           162
      69            4             0000           156
      70            4             0000           207
      71            4             0000           149
      72            4             0000           179
      73            4             0000           147
      74            4             0000           320
      75            4             0000           124
      76            4             0000           133
      77            4             0000           138
      78            4             0000           149
      79            4             0000           157
      80            4             0000           246
      81            4             0000           144
      82            4             0000           139
      83            4             0000           206
      84            4             0000           161
      85            4             0000           162
      86            4             0000           168
      87            4             0000           147
      88            4             0000           161
      89            4             0000           188
      90            4             0000           141
      91            4             0000           134
      92            4             0000           165
      93            4             0000           214
      94            4             0000           154
      95            4             0000           202
      96            4             0000           162
      97            4             0000           147
      98            4             0000           164
      99            4             0000           149
     100            4             0000           181
     101            4             0000           140
     102            4             0000           172
     103            4             0000           143
     104            4             0000           147
     105            4             0000           178
     106            4             0000           174
     107            4             0000           146
     108            4             0000           174
     109            4             0000           132
     110            4             0000           116
     111            4             0000           172
     112            4             0000           158
     113            4             0000           206
     114            4             0000           156
     115            4             0000           146
     116            4             0000           143
     117            4             0000           139
     118            4             0000           171
     119            4             0000           153
     120            4             0000           153
     121            4             0000           215
     122            4             0000           204
     123            4             0000           151
     124            4             0000           175
