Missing data from input file Neestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_MIR_011]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           145
       2            4             0000           142
       3            4             0000           115
       4            4             0000           121
       5            4             0000           117
       6            4             0000           123
       7            4             0000           159
       8            4             0000           131
       9            4             0000           140
      10            4             0000           155
      11            4             0000           144
      12            4             0000           126
      13            4             0000           120
      14            4             0000           190
      15            4             0000           108
      16            4             0000           111
      17            4             0000           145
      18            4             0000           117
      19            4             0000           133
      20            4             0000           197
      21            4             0000           124
      22            4             0000           156
      23            4             0000           111
      24            4             0000           186
      25            4             0000           109
      26            4             0000           111
      27            4             0000           150
      28            4             0000           109
      29            4             0000           129
      30            4             0000           130
      31            4             0000           106
      32            4             0000           115
      33            4             0000           112
      34            4             0000           112
      35            4             0000           114
      36            4             0000           174
      37            4             0000           106
      38            4             0000           111
      39            4             0000           122
      40            4             0000           125
      41            4             0000           123
      42            4             0000           176
      43            4             0000           109
      44            4             0000            96
      45            4             0000           118
      46            4             0000           112
      47            4             0000           115
      48            4             0000           126
      49            4             0000           101
      50            4             0000           146
      51            4             0000           124
      52            4             0000           112
      53            4             0000           117
      54            4             0000           137
      55            4             0000           130
      56            4             0000           137
      57            4             0000           125
      58            4             0000           245
      59            4             0000           120
      60            4             0000           128
      61            4             0000           125
      62            4             0000           138
      63            4             0000           194
      64            4             0000           115
      65            4             0000           137
      66            4             0000           105
      67            4             0000           118
      68            4             0000           123
      69            4             0000           131
      70            2             0000           210
      71            4             0000           131
      72            4             0000           112
      73            4             0000           154
      74            4             0000           122
      75            4             0000           126
      76            4             0000           146
      77            4             0000           139
      78            4             0000           142
      79            4             0000           118
      80            4             0000           155
      81            4             0000           108
      82            4             0000           125
      83            4             0000           135
      84            4             0000           145
      85            4             0000           125
      86            4             0000           125
      87            4             0000           167
      88            4             0000           125
      89            4             0000           143
      90            4             0000           114
      91            4             0000           142
      92            3             0000           218
      93            4             0000           170
      94            4             0000           138
      95            4             0000           116
      96            4             0000           184
      97            4             0000           115
      98            4             0000           126
