Missing data from input file OCQNeestimator_2019_age1_split.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_397]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000            30
       2            4             0000            29
       3          231             0000            29
       4            4             0000            32
       5          135             0000            30
       6            4             0000            37
       7            4             0000            28
       8            4             0000            30
       9            4             0000            36
      10            4             0000            21
      11           36             0000            20
      12          189             0000            26
      13          152             0000            21
      14           76             0000            20
      15          273             0000            18
      16          373             0000            30
      17           22             0000            20
      18           22             0000            38
      19          231             0000            26
      20          146             0000            52
      21           80             0000            26
      22            4             0000            24
      23            4             0000            25
      24          231             0000            14
      25            4             0000            42
      26            4             0000           103
      27           36             0000            28
      28            4             0000            49
      29            4             0000            57
      30            4             0000            28
      31            4             0000            46
      32          218             0000            37
      33            4             0000            45
      34            4             0000            56
      35            4             0000            52
      36            4             0000            69
      37            4             0000            35
      38            4             0000           116
      39            4             0000            44
      40            4             0000            30
      41            4             0000            39
      42            4             0000            37
      43            4             0000            79
      44            4             0000            80
      45            4             0000            29
      46           75             0000            34
      47            4             0000            36
      48            4             0000            41
      49            4             0000            21
      50          367             0000            30
      51           18             0000            32
      52            4             0000            19
      53            7             0000            36
      54          287             0000            31
      55            4             0000            28
      56          287             0000            26
      57            4             0000            36
      58           22             0000            26
      59            4             0000            27
      60            4             0000            43
      61            4             0000            32
      62          170             0000            25
      63            4             0000            29
      64          287             0000            29
      65           77             0000            25
      66           77             0000            30
      67           77             0000            52
      68            4             0000           130
      69            4             0000            56
      70            4             0000            62
      71           72             0000            36
      72           80             0000            45
      73            4             0000            30
      74            4             0000            53
      75           80             0000            34
      76          320             0000            32
      77            4             0000            33
      78          266             0000            30
      79           76             0000            38
      80          218             0000            16
      81           17             0000            27
      82           75             0000            27
      83          372             0000            19
      84          105             0000            15
      85            4             0000            28
      86           98             0000            78
      87            4             0000            55
-----------------------------------------------------------
Total missing data for population    1:         3295

