Missing data from input file STENeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_STE_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           26             0000           130
       2           35             0000            73
       3            4             0000           113
       4           14             0000            86
       5           71             0000            92
       6            4             0000            83
       7            4             0000           179
       8            4             0000            76
       9            4             0000            81
      10           35             0000            94
      11           14             0000           106
      12            1             0000            78
      13            4             0000           159
      14            4             0000           205
      15            4             0000            96
      16            4             0000            95
      17            4             0000           127
      18            4             0000           133
      19            4             0000            89
      20            4             0000           126
      21            4             0000           154
      22            4             0000           209
      23           15             0000           114
      24            4             0000           122
      25            4             0000           168
      26            4             0000           125
      27            4             0000            94
      28            4             0000           117
      29            2             0000           225
      30            4             0000           144
      31            4             0000           160
      32            4             0000           108
      33            2             0000           338
      34            4             0000            88
      35            4             0000           129
      36            4             0000           201
      37            4             0000           141
      38            4             0000           123
      39            4             0000           106
      40            4             0000           162
      41            4             0000           158
      42            4             0000           163
      43            4             0000           152
      44           25             0000           103
      45            2             0000           293
      46            4             0000           152
      47            4             0000           221
      48            4             0000           105
      49            4             0000           124
      50            4             0000           140
      51            4             0000           119
      52            4             0000           146
      53            4             0000           139
      54            4             0000           123
      55           14             0000           117
      56            4             0000           117
      57           15             0000            91
      58            4             0000           120
      59            4             0000           137
      60            4             0000           111
      61            4             0000           146
      62            4             0000            99
      63            4             0000           100
      64            4             0000           157
      65            4             0000           255
      66            4             0000           213
      67            4             0000           153
      68            4             0000           209
      69            4             0000           276
      70            1             0000           152
      71            4             0000           156
      72            4             0000           268
      73            4             0000           346
      74            2             0000           255
      75            4             0000           199
      76            4             0000           206
      77            4             0000           217
      78            4             0000           250
      79            4             0000           168
      80            4             0000           183
      81            4             0000           181
      82            4             0000           212
      83            4             0000           161
      84            4             0000           230
      85            4             0000           193
      86            4             0000           179
      87            4             0000           336
      88            4             0000           306
      89            4             0000           242
      90            4             0000           236
      91            4             0000           252
      92            4             0000           204
      93            4             0000           293
      94            4             0000           230
      95            4             0000           231
      96            4             0000           305
      97            4             0000           234
      98            4             0000           265
      99            4             0000           301
     100            4             0000           237
     101            4             0000           223
     102            4             0000           236
     103            4             0000           294
     104            4             0000           326
     105            4             0000           399
-----------------------------------------------------------
Total missing data for population    1:        18394

