Missing data from input file TAQNeestimator_2019.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_TAQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000           212
       2           15             0000           166
       3            4             0000           248
       4           15             0000            78
       5           15             0000           128
       6           15             0000           103
       7           15             0000            93
       8           15             0000            85
       9           15             0000           122
      10           15             0000            76
      11           15             0000           106
      12           15             0000            81
      13           15             0000            72
      14           15             0000            94
      15           15             0000           170
      16           15             0000           138
      17           15             0000            99
      18            4             0000           104
      19           15             0000           105
      20           15             0000           109
      21           15             0000            78
      22           15             0000           112
      23            4             0000           193
      24           15             0000            94
      25           15             0000           107
      26           15             0000            65
      27            4             0000           150
      28           15             0000            87
      29           15             0000            71
      30            4             0000           143
      31           15             0000            73
      32           15             0000            72
      33           15             0000           114
      34            4             0000           148
      35           15             0000           112
      36            4             0000           213
      37           15             0000            71
      38            4             0000            97
      39           15             0000            85
      40           15             0000            63
      41           15             0000           101
      42           15             0000            75
      43           15             0000            75
      44            4             0000           133
      45           15             0000           107
      46            4             0000           128
      47           15             0000            53
      48           15             0000           142
      49            4             0000           160
      50           15             0000           117
      51           15             0000            83
      52           15             0000            78
      53           15             0000            60
      54           15             0000            89
      55           15             0000           125
      56           15             0000           157
      57           15             0000           121
      58           15             0000           132
      59           15             0000            74
      60           15             0000           112
      61           15             0000            82
      62           15             0000           109
      63           15             0000           149
      64           15             0000            80
      65           15             0000           124
      66           15             0000            96
      67           15             0000           110
      68           15             0000            93
      69           15             0000            82
      70           15             0000           134
      71           15             0000           146
      72           15             0000           108
      73           15             0000            89
      74           15             0000            90
      75           15             0000            94
      76           15             0000           109
      77           15             0000            99
      78            4             0000           111
      79            4             0000           282
      80           15             0000            86
      81           15             0000           129
      82           15             0000           149
      83           15             0000           191
      84           15             0000            97
      85           15             0000            96
      86           15             0000           138
      87            4             0000           140
      88           15             0000           104
      89           15             0000            98
      90           15             0000            83
      91           15             0000           116
      92            4             0000           147
-----------------------------------------------------------
Total missing data for population    1:        10420

