Missing data from input file TAQNeestimator_2019_age1.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_TAQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           15             0000            86
       2           15             0000            76
       3           15             0000           103
       4           15             0000            32
       5           15             0000            42
       6           15             0000            37
       7          177             0000            37
       8          165             0000            26
       9          286             0000            45
      10            2             0000          1641
      11           15             0000            30
      12           15             0000            45
      13           15             0000            39
      14           15             0000            36
      15          177             0000            40
      16           15             0000            51
      17           15             0000            55
      18           15             0000            33
      19          134             0000            35
      20           15             0000            37
      21           15             0000            52
      22          244             0000            38
      23           15             0000            46
      24           36             0000            64
      25           15             0000            46
      26           36             0000            39
      27           15             0000            30
      28           15             0000            43
      29           15             0000            40
      30           15             0000            31
      31           15             0000            41
      32           36             0000            25
      33          104             0000            31
      34           15             0000            42
      35           15             0000            53
      36           15             0000            30
      37           15             0000            60
      38           15             0000            32
      39          165             0000            36
      40          134             0000            27
      41          230             0000            19
      42           36             0000            41
      43           15             0000            21
      44           15             0000            30
      45           15             0000            34
      46           15             0000            38
      47           15             0000            51
      48           42             0000            25
      49           15             0000            50
      50           15             0000            42
      51           15             0000            45
      52           15             0000            35
      53          174             0000            30
      54          286             0000            26
      55          265             0000            34
      56           15             0000            42
      57           15             0000            38
      58           15             0000            34
      59           15             0000            41
      60           15             0000            39
      61          217             0000            37
      62           15             0000            30
      63           15             0000            37
      64           15             0000            49
      65           15             0000            32
      66           36             0000            38
      67           15             0000            31
      68           15             0000            41
      69           15             0000            29
      70          177             0000            28
      71           15             0000            40
      72           15             0000            36
      73           15             0000            40
      74          177             0000            33
      75           15             0000            33
      76           85             0000            41
      77           15             0000            37
      78          217             0000            28
      79           15             0000            39
      80           15             0000            99
      81           15             0000            22
      82           15             0000            37
      83           15             0000            42
      84           15             0000            57
      85           15             0000            32
      86           15             0000            44
      87           15             0000            45
      88           15             0000            44
      89           15             0000            51
      90           15             0000            42
      91           15             0000            35
      92           15             0000            40
      93           15             0000            52
      94            1             0000          2609
-----------------------------------------------------------
Total missing data for population    1:         7977

