NC_046069.1	1
NC_001626.1	mito.genome
NC_046070.1	2
NC_046071.1	3
NC_046072.1	4
NC_046073.1	5
NC_046074.1	6
NC_046075.1	7
NC_046076.1	8
NC_046077.1	9
NC_046078.1	10
NC_046079.1	11
NC_046080.1	12
NC_046081.1	13
NC_046082.1	14
NC_046083.1	15
NC_046084.1	16
NC_046085.1	17
NC_046086.1	18
NC_046087.1	19
NC_046088.1	20
NC_046089.1	21
NC_046090.1	22
NC_046091.1	23
NC_046092.1	24
NC_046093.1	25
NC_046094.1	26
NC_046095.1	27
NC_046096.1	28
NC_046097.1	29
NC_046098.1	30
NC_046099.1	31
NC_046100.1	32
NC_046101.1	33
NC_046102.1	34
NC_046103.1	35
NC_046104.1	36
NC_046105.1	37
NC_046106.1	38
NC_046107.1	39
NC_046108.1	40
NC_046109.1	41
NC_046110.1	42
NC_046111.1	43
NC_046112.1	44
NC_046113.1	45
NC_046114.1	46
NC_046115.1	47
NC_046116.1	48
NC_046117.1	49
NC_046118.1	50
NC_046119.1	51
NC_046120.1	52
NC_046121.1	53
NC_046122.1	54
NC_046123.1	55
NC_046124.1	56
NC_046125.1	57
NC_046126.1	58
NC_046127.1	59
NC_046128.1	60
NC_046129.1	61
NC_046130.1	62
NC_046131.1	63
NC_046132.1	64
NC_046133.1	65
NC_046134.1	66
NC_046135.1	67
NC_046136.1	68
NC_046137.1	69
NC_046138.1	70
NC_046139.1	71
NC_046140.1	72
NC_046141.1	73
NC_046142.1	74
NC_046143.1	75
NC_046144.1	76
NC_046145.1	77
NC_046146.1	78
NC_046147.1	79
NC_046148.1	80
NC_046149.1	81
NC_046150.1	82
NC_046151.1	83
NC_046152.1	84
NC_046153.1	85
NW_022638103.1	35_unloc.1
NW_022638104.1	35_unloc.2
NW_022638105.1	38_unloc.1
NW_022638106.1	38_unloc.2
NW_022638107.1	42_unloc.1
NW_022638108.1	43_unloc.1
NW_022638109.1	43_unloc.2
NW_022638110.1	48_unloc.1
NW_022638111.1	60_unloc.1
NW_022638112.1	61_unloc.1
NW_022638113.1	61_unloc.2
NW_022638114.1	61_unloc.3
NW_022638115.1	61_unloc.4
NW_022638116.1	62_unloc.1
NW_022638117.1	62_unloc.2
NW_022638118.1	63_unloc.1
NW_022638119.1	63_unloc.2
NW_022638120.1	64_unloc.1
NW_022638121.1	64_unloc.2
NW_022638122.1	64_unloc.3
NW_022638123.1	64_unloc.4
NW_022638124.1	64_unloc.5
NW_022638125.1	64_unloc.6
NW_022638126.1	64_unloc.7
NW_022638127.1	65_unloc.1
NW_022638128.1	66_unloc.1
NW_022638129.1	66_unloc.2
NW_022638130.1	66_unloc.3
NW_022638131.1	66_unloc.4
NW_022638132.1	66_unloc.5
NW_022638133.1	66_unloc.6
NW_022638134.1	67_unloc.1
NW_022638135.1	67_unloc.2
NW_022638136.1	68_unloc.1
NW_022638137.1	68_unloc.2
NW_022638138.1	68_unloc.3
NW_022638139.1	68_unloc.4
NW_022638140.1	68_unloc.5
NW_022638141.1	70_unloc.1
NW_022638142.1	70_unloc.2
NW_022638143.1	70_unloc.3
NW_022638144.1	70_unloc.4
NW_022638145.1	70_unloc.5
NW_022638146.1	70_unloc.6
NW_022638147.1	71_unloc.1
NW_022638148.1	71_unloc.2
NW_022638149.1	72_unloc.1
NW_022638150.1	72_unloc.2
NW_022638151.1	72_unloc.3
NW_022638152.1	72_unloc.4
NW_022638153.1	72_unloc.5
NW_022638154.1	72_unloc.6
NW_022638155.1	73_unloc.1
NW_022638156.1	73_unloc.2
NW_022638157.1	73_unloc.3
NW_022638158.1	73_unloc.4
NW_022638159.1	74_unloc.1
NW_022638160.1	74_unloc.2
NW_022638161.1	74_unloc.3
NW_022638162.1	74_unloc.4
NW_022638163.1	74_unloc.5
NW_022638164.1	74_unloc.6
NW_022638165.1	74_unloc.7
NW_022638166.1	74_unloc.8
NW_022638167.1	75_unloc.1
NW_022638168.1	75_unloc.2
NW_022638169.1	75_unloc.3
NW_022638170.1	75_unloc.4
NW_022638171.1	75_unloc.5
NW_022638172.1	75_unloc.6
NW_022638173.1	75_unloc.7
NW_022638174.1	75_unloc.8
NW_022638175.1	76_unloc.1
NW_022638176.1	76_unloc.2
NW_022638177.1	76_unloc.3
NW_022638178.1	76_unloc.4
NW_022638179.1	76_unloc.5
NW_022638180.1	76_unloc.6
NW_022638181.1	76_unloc.7
NW_022638182.1	76_unloc.8
NW_022638183.1	77_unloc.1
NW_022638184.1	77_unloc.10
NW_022638185.1	77_unloc.11
NW_022638186.1	77_unloc.12
NW_022638187.1	77_unloc.13
